"","nationality","tags","score","content","content_detail"
"16","Italy","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Queen Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","7.1","¡°Good hotel but I wouldna<U+0080><U+0099>t book it again:pool was so cold and no common area¡±","<U+B209>Cons:Absolute ice cold pool ,noise from the air co engine at the top of the building,no place to relaxDirty floors with carpet and not so clean roomWeird way to have the room card every time with you ,otherwise no way to reach the 15 th floor where our room was or to take any other floorNo advise you have to playa bottom to allow the maid to make your roomAt 10.15 when we where back we asked the bar a cocktail or wine but it closes at 10 pm !!!you can only have beers<U+B207>Pros:Comfortable bed super sheetsSilent air coCentral location ,200 m to Nicolle highway and a couple of stops to the MarinaVery good breakfastFriendly staffStayed in January 2018"
"17","Croatia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Queen Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","9.2","¡°Good value for the money¡±","<U+B207>Rooms were comfortable and clean and the breakfast was good. Pool was okay, quite small but with a city view. We had no problems with checking in and out of the hotel. Good value for the money.Stayed in December 2017"
"18","Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> 2 rooms<U+2022> Stayed 5 nights<U+2022> Submitted via mobile","4.6","¡°Good location with bad staff¡±","<U+B209>The staff, especially reservation staff. So much trouble theya<U+0080><U+0099>ve made. So stubborn and careless.<U+B207>The locationStayed in January 2018"
"19","United Kingdom","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","7.9","¡°Good value, close to MRT station to travel around Singapore.¡±","<U+B209>Family rooms pretty small for four with luggage<U+B207>Good value, close to MRT station to travel around Singapore. Nice roof swimming poolStayed in December 2017"
"20","Malaysia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 5 nights<U+2022> Submitted via mobile","6.3","¡°Good introduction to the Asian experience¡±","<U+B209>I was not expected a small size room,<U+B207>The location of the hotel is great, close to the MRT and the attractions of the neigborhoodStayed in January 2018"
"21","United Kingdom","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","7.5","¡°Great location, lovely pool with great view, friendly staff¡±","<U+B209>Cramped room for 4 people<U+B207>Great location, lovely pool with great view, friendly staffStayed in December 2017"
"22","United Kingdom","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> 2 rooms<U+2022> Stayed 2 nights","8.3","¡°Nice decent hotel with all the basic amenities & a nice roof top swimming pool¡±","<U+B209>Not many food options for vegetarians late in the night. Better to plan in advance if you have younger children. Almost all the Uber drivers struggled to locate the place; better to contact them and give additional directions if you don't want to wait for long!<U+B207>Property was responsive to requests and were helpful with our queries.Stayed in December 2017"
"23","Germany","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Queen Room<U+2022> Stayed 5 nights","8.3","¡°Great base for exploring Singapore!¡±","<U+B209>There was almost no cold water available in the bathroom. This was especially annoying while showering: you had to choose between no pressure at tolerable temperatures, or boiling water at a little more pressure. Also, A/C settings reset each time you leave the room.<U+B207>Nice hotel, everything new and modern. Comfy beds, A/C not too loud. Pool on 16th floor with great view to the city. Food court (hawker centre) with many affordabe eating possibilities just around the corner. Proximity to the MRT station (about 5 min walking). Arab district only 10-15 min walking distance.Stayed in January 2018"
"24","Ghana","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 2 nights","8.8","¡°I would definitely return to the same place.¡±","<U+B209>The shower room didn't have doors and also the bathroom door could not lock. Breakfast required also more variety.<U+B207>The Customer service was great, The location was perfectStayed in January 2018"
"25","Belgium","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","7.5","¡°Moderate price but the rooms are quite small¡±","<U+B209>No bottled water offered, rooms are pretty small, as well as bathroom which is very tiny, if MRT used it's quite difficult to reach with a luggage from the airport due to many stairs, very expensive coffee in the lobby<U+B207>Reception efficient, umbrellas offered, luggage storage, housekeeping excellent, tea/coffee in the roomStayed in January 2018"
"26","Indonesia","<U+2022> Couple<U+2022> Superior Queen Room<U+2022> Stayed 3 nights","4.6","¡°The hotel is so quiet.¡±","<U+B209>when check-in the hotel, i felt the worker is so not kind and arrogant.<U+B207>The hotel is so quiet. but the elevator is so slow (have to wait for a long time)the swimming pool in top of the hotel is so so so so so small~Stayed in January 2018"
"27","Philippines","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Twin Room<U+2022> Stayed 6 nights<U+2022> Submitted via mobile","7.9","¡°It was alright¡±","<U+B209>Broken toilet lock, broken toilet hook.<U+B207>The bed was so clean and comfy. The tissues were good quality tissues. Close to the MRT. Easy cheap eats right across.Stayed in January 2018"
"28","Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","3.8","¡°Not really nice¡±","<U+B209>The room is not clean, all marks on the door. No conditioner, no soap. just 1 slipper for 4 of us. Not worth it.<U+B207>Hmmmp?Stayed in December 2017"
"29","China","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> 2 rooms<U+2022> Stayed 5 nights<U+2022> Submitted via mobile","7.5","¡°Good location n valued price ¡±","<U+B209>Noisy neighbors n I had to complain then requested to change room the next day :( can hear the noise from corridor very clearly especially holiday peak season like year count down. <U+B207>Location is quite good though no MRT around, but easy to walk around and close to Mariana Bay Area n bugis. Room view is ok and can see Mariana bay from the roof but bad idea to enjoy the fireworks on counting down night of dec 31... too crowded n no control with safety concern? There is a food center opposite of hotel with very nice n cheap choices for dinner (most stalls open at night). Also there is a small Thailand beside the hotel for Thai food. Stayed in January 2018"
"30","China","<U+2022> Leisure trip<U+2022> People with friends<U+2022> Superior Twin Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","4.6","¡°it needs to be improved ¡±","<U+B209> rooms are too small, and the bathroom amenities need to be improved. there is no such thing as a comb, skin lotion or hair conditioner. besides the toothbrushes are in bad quality and hard to use. on the first night of our stay we hear the strange noise until 3 am, like someone is having a party. we call the hotel they promise to check on that but it doesna<U+0080><U+0099>t work. ita<U+0080><U+0099>s the worst night ever.<U+B207>the design of the lobby and rooftop swimming pool is cool by the way. and the restaurant on 2nd floor offers asian food. Stayed in January 2018"
"31","Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 5 nights","5.4","¡°The location is near an MRT station¡±","<U+B209>The room did not smell freshThe breakfast experience was terrible every single day during our 5 days' stay: there were way too many people for that small restaurant. Finding a table was difficult and reaching the buffet table was a challenge.<U+B207>The location is near an MRT stationStayed in December 2017"
"32","United Kingdom","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","4.2","¡°Overall fine but room disappointed.¡±","<U+B209>Room was disappointingly small for family of four - having been described as a family room. Once there were two additional beds in the room there was no space at all. The bathroom was also very small for a family. No space to hang up more than two towels.<U+B207>Location was good with easy access to MRT and fairly central. Only twenty minutes from airport.Stayed in January 2018"
"33","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Queen Room<U+2022> Stayed 2 nights","9.6","¡°Clean hotel with Friendly staff¡±","<U+B209>Pillow too soft<U+B207>LocationStayed in December 2017"
"34","Australia","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Superior Queen Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","7.9","¡°Great location, very modern, helpful staff¡±","<U+B209>Breakfast is expensive, but on a par with most in Singapore. It is 5 minutes walk to many cafes, however the price is similar.<U+B207>Great location, very modern, helpful staffStayed in December 2017"
"35","Finland","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Queen Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.1","¡°Clean with good location.¡±","<U+B209>Bass noise throught the night though room in 11th floor. Common facilities / areas too small. No common changing rooms or showers available at the pool or lobby level for checked out customers.<U+B207>New hotel, good location and reasonable price. Ok breakfast.Stayed in December 2017"
"36","United Arab Emirates","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","7.9","¡°Reasonable hotel value for money¡±","<U+B209>No late check out; Small toilet and has no lock. No windows so air circulation is not good.<U+B207>A reasonable hotelStayed in December 2017"
"37","Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","10","¡°Excellent stay with great welcome from all staffs and managers¡±","<U+B209>None<U+B207>Customer service is great and the room is cleaned very well. Lovely and warm to stay for family and couple for holiday.Stayed in December 2017"
"38","Maldives","<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°The bed¡±","<U+B209>Nothing<U+B207>EverythingStayed in December 2017"
"39","Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 5 nights<U+2022> Submitted via mobile","7.9","¡°Very good except the fight for breakfast each morning¡±","<U+B209>Breakfast fiasco<U+B207>Location.Stayed in December 2017"
"40","Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 5 nights<U+2022> Submitted via mobile","5.8","¡°Ok for a night or two max. Not recommended for families.¡±","<U+B209>Family room with queen bed, couch and a single left no room for bags or to sit or for more than two people to stand at once. No proper fridge, minibar or gym. Roof pool ok but shellow. Breakfast expensive (expected), limited and average overall.<U+B207>Location was ok, my expectations overall were higher than reality unfortunately.Stayed in December 2017"
"41","United Arab Emirates","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 9 nights<U+2022> Submitted via mobile","7.1","¡°I will still recommend this hotel. e<U+009F><U+0091><U+008D>¡±","<U+B209>Pillows - too thin and only 1 per guest.<U+B207>Closeness to mrt station - about 200m, taxi stand and bus standStayed in December 2017"
"42","Zambia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","6.3","¡°Strategic location. ¡±","<U+B209>Staff very straightforward. <U+B207>Location is good.Stayed in December 2017"
"43","Kuwait","<U+2022> Couple<U+2022> Family Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","7.1","¡°Clean center all places near by¡±","<U+B209>Room was very smal for 4 persons very congested<U+B207>Clean center all places near byStayed in December 2017"
"44","United Kingdom","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 4 nights","8.3","¡°Very pleasant stay and stuff was amazingly helpful and friendly¡±","<U+B209>Rooms are substantially smaller than they appear on the hotels photos. Breakfast hall was overcrowded.<U+B207>Roof top swimming pool was amazing. Located close to Arab Street and MRT.Stayed in December 2017"
"45","East Timor","<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 1 night","5.8","¡°An ok place to spend the night, but not worth the money compared to other hotels with same price¡±","<U+B209>room tiny, elevators small, crowded and slow, breakfast ran out of food and room very fastStayed in December 2017"
"46","Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","5.4","¡°The bedding is very good¡±","<U+B209>No preasure in the shower and or cold water or too hot water, impossible to regulate   Floor carpets with spotsWifi not working properly, that meant no WiFi in the roomBreakfast is ok but the breakfastroom is too small for the number of persons, so it feels very croudy. Not very nice to start the day<U+B207>The bedding is very goodStayed in December 2017"
"47","United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Queen Room<U+2022> Stayed 2 nights","8.3","¡°Good basic hotel. Ideal if you just need a place to sleep and freshen up.¡±","<U+B207>Good location for getting around Singapore. Underground close by. Rooms are very practical. Bar and restaurant prices are high. Try the Street Food across the road it is amazing.Stayed in December 2017"
"48","Singapore","<U+2022> Family with young children<U+2022> 2 rooms<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.5","¡°Easy acess to nearby foods joints,li¡±","<U+B207>The staffs are friendlyStayed in December 2017"
"49","New Zealand","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","7.1","¡°Generally good.¡±","<U+B207>Generally good.Stayed in December 2017"
"50","Singapore","<U+2022> Leisure trip<U+2022> Group<U+2022> Superior Twin Room<U+2022> Stayed 2 nights","7.5","¡°Bed is comfy, staff friendly¡±","<U+B207>Bed is comfy, staff friendlyStayed in December 2017"
"51","United Arab Emirates","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","8.3","¡°Value of money¡±","<U+B209>Nothing<U+B207>easy access to all places to vist and shorth distance from airport..breakfast is goodStayed in December 2017"
"52","Malaysia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Connecting Room<U+2022> Stayed 3 nights","8.8","¡°Excellent :D¡±","<U+B209>The room is kinda small but just nice for 2 pax. And they don't have proper hair and body shampoo for guests( only 2 in 1). But this does not affect us since we brought our own shampoo during the trip.<U+B207>Everything was great, nice room, nice bed. If you travel by car, the parking is FOC, which is really rare in Singapore. The location is nice, opposite have one hawker center with really great food (hokkien mee), and beside is golden mile plaze which have really tasty thai food (friend banana, crepe, mookata). Will def come back again.Stayed in December 2017"
"53","USA","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","8.3","¡°Location and close to many interesting areas¡±","<U+B209>Small room, not much space to move around<U+B207>Location and close to many interesting areasStayed in December 2017"
"54","Thailand","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Superior Twin Room<U+2022> Stayed 3 nights","9.6","¡°Good location and convenient for tourist¡±","<U+B209>Public area is too small<U+B207>Good location and convenient for touristStayed in December 2017"
"55","India","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 4 nights","6.3","¡°Stayed for 4 nights with family.¡±","<U+B209>Very limited spread in the breakfast,  breakfast area very small for the guests. Rooms are very small.<U+B207>Stayed for 4 nights with family. Cleanliness is very good.  Nice view from the roof top. Friendly staff.Stayed in December 2017"
"56","India","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Queen Room<U+2022> Stayed 5 nights","6.7","¡°Hotel was okay¡±","<U+B209>Problem was the area where breakfast was served is very congested and there was not enough variety of food to cater different people. In short breakfast was not good<U+B207>Hotel was okayStayed in December 2017"
"57","India","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Queen Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","10","¡°Location of property¡±","<U+B207>Location of propertyStayed in December 2017"
"58","Saudi Arabia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> 2 rooms<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.9","¡°A very good hotel for tourist.¡±","<U+B209>You need to carry your own stuff to bring to your room<U+B207>Location and comfort.Stayed in December 2017"
"59","Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> 2 rooms<U+2022> Stayed 3 nights","8.3","¡°It is nice, clean, spacious and near MRT also Bus Station.¡±","<U+B207>The place is near Kampong Glam so it is convenience for muslim to stay cause there is mosque nearby and the place also close to MRT Station and Bus Station. The room is clean and spacious. It is a great place to stay.Stayed in December 2017"
"60","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 1 night","5.4","¡°Not value for money.¡±","<U+B209>Soundproof is extremely bad. Besides, children running at the corridor outside of the room produced so much noise and affected our sleep. Very bad experience.Not really value for money because the hotel only provides basic amenities.<U+B207>location is great, near to the mrt station.Stayed in December 2017"
"61","Vietnam","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 3 nights","10","¡°wonderful experiences, the room quite small but it is quite cozy¡±","<U+B209>The lightly bad smell of  toilet can bother a little bit of your experience but in overall, it would be highly recommended<U+B207>I love the breakfast and also the cleanliness of the Hotel.Moreover, the hotel very near the Nicoll Highway Station MRT so if you plan to go there by MRT, just choose Nicoll MRTStayed in December 2017"
"62","Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Twin Room<U+2022> Stayed 7 nights<U+2022> Submitted via mobile","9.2","¡°Location, pool, breakfast¡±","<U+B207>Location, pool, breakfastStayed in December 2017"
"63","China","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 4 nights","8.3","¡°clean rooms, international TV channels and convenient...¡±","<U+B209>there is a nice food center opposite to hotel, serving cheap but good local food, but no good choice nearby for coffee break or a nice dinner.<U+B207>clean rooms, international TV channels and convenient transportation: half an hour walk to Bugis and Marina Bay.Stayed in December 2017"
"64","Philippines","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 5 nights<U+2022> Submitted via mobile","7.1","¡°New Hotel. Excellent Location ¡±","<U+B209>Staff at the restaurant were rude. Balan in specific. Zero customer service attitude. The staff was more interested in turning away people.<U+B207>LocationStayed in December 2017"
"65","Singapore","<U+2022> Leisure trip<U+2022> Group<U+2022> Superior Queen Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","5.0","¡°Could be better with better service¡±","<U+B209>Staff, very blunt and rude.<U+B207>Located near local food cuisine which affordableStayed in December 2017"
"66","China","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Connecting Room<U+2022> Stayed 4 nights","6.3","¡°The hotel room is bigger than most of the hotels¡±","<U+B209>The safety in that area maybe an issue in the night<U+B207>The hotel is close to MRT, easy to find restaurant/food court aroundStayed in November 2017"
"67","Malaysia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","9.2","¡°Enjoyed staying! Would book again!¡±","<U+B207>Very clean room. Friendly and helpful Staff. Good breakfast choice. Close access to Bus and MRT. Delicious affordable Food Court across the Property.Stayed in December 2017"
"68","China","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 3 nights","7.1","¡°good, can be better¡±","<U+B209>the family room is too small<U+B207>location is goodStayed in December 2017"
"69","Malaysia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","7.5","¡°Good¡±","<U+B209>Small pool, didna<U+0080><U+0099>t refill soap, need to queue to check out<U+B207>Elevated parkingStayed in December 2017"
"70","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> 3 rooms<U+2022> Stayed 1 night<U+2022> Submitted via mobile","6.3","¡°The bed is comfortable.¡±","<U+B209>The toilet with uneven floor.<U+B207>The bed is comfortable.Stayed in December 2017"
"71","Indonesia","<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","7.1","¡°Nice new hotel, but not for kids/ baby¡±","<U+B209>Room quite narrow to open medium size bagage (stayed  in family room triple size bed), i brought my baby also. My husband asked them to keep my ice gel for my cooler bag 'breastmilk' in freezer, but the reception (a girl young age) looked at it disgustingly (seriously!!) and said to the other reception, ""do we have freezer? "", she told him, 'no we dont have freezer.' Okay. Done.. You can see some dust <U+B207>The bed was nice, breakfast very good  for 3,5* hotel but it's not halal, my fav's pork bacon, hashbrown, apple juice Stayed in December 2017"
"72","Czech Republic","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Superior Queen Room<U+2022> Stayed 3 nights","9.6","¡°Very nice place , ideal to go everywhere. I would like to come back again !¡±","<U+B209>nothing<U+B207>Very helpful staff at the front office .Stayed in December 2017"
"73","Brazil","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.2","¡°Good place to stay¡±","<U+B209>Small room, lack of ventilation<U+B207>Good location, nice pool. Reception is friendlyStayed in December 2017"
"74","Brazil","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","9.6","¡°Very good hotel¡±","<U+B207>Good hotel. The room and the facilities all look new. The swimming pool in the roof is pretty nice and there's a nice view from there from both sides. The breakfast was good with good options of fruits, breads, coffee, cereals and couple more things. Would stay there again.Stayed in December 2017"
"75","Germany","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Queen Room<U+2022> Stayed 5 nights<U+2022> Submitted via mobile","9.6","¡°The Hotel is highly recommendable to anybody who is looking for an excellent value of money in Singa¡±","<U+B209>1. I expected a better breakfast wit more selections In breads and cheeses.2. The Hotel does not have a gym.<U+B207>1. The staff was really helpful and super friendly.2. The area of the Hotel is lively with great Thaifood places (right in the golden mile district).3. Easy access to the MRT (Nicoll Highway 7 Mins walking, Lavendar (10 Mins walking).4. Excellent view onto the Singapore Flyer, Marina Bay Sands Hotel as well as the Stadium).5. Although in a busy area, the rooms were quiet.6. The bed was very comfortable and the bathroom had a good size. The shower was bigger than expected.7. Very nice rooftop outdoor pool.8. Taxis from the airport or to the airport cost between S$24-S$29.Stayed in December 2017"
"76","United Kingdom","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Queen Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","9.6","¡°Very comfortable place easy access to transportation¡±","<U+B200>Very comfortable place easy access to transportationStayed in December 2017"
"77","Australia","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Superior Queen Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","9.6","¡°Nice rooms and fantastic roof top pool¡±","<U+B198>Location was a little further out than I would of liked however easy to get around with the mrt<U+B200>Cleanliness of room, quiet rooms, roof top poolStayed in December 2017"
"78","United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Queen Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","8.8","¡°Great location in Kampong Glam neighbourhood.¡±","<U+B198>Our room rate did not include breakfast, which looked quite nice.<U+B200>Great location in Kampong Glam neighbourhood. Modern, new facilities. Nice rooftop pool.Stayed in December 2017"
"79","Singapore","<U+2022> Leisure trip<U+2022> Group<U+2022> Superior Queen Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.5","¡°Excellent and will visit soon¡±","<U+B198>Security officer was unfriendly and unclear of parking procedure.<U+B200>Cleanliness and the bed super comfyStayed in December 2017"
"80","United Kingdom","<U+2022> Leisure trip<U+2022> Group<U+2022> Triple Room<U+2022> Stayed 1 night","7.9","¡°No room service but good breakfast options - very...¡±","<U+B200>No room service but good breakfast options - very accommodating staffStayed in December 2017"
