"","nationality","tags","score","content","content_detail"
"11","Singapore","<U+2022> Leisure trip<U+2022> Group<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°It was relaxing and I'm definitely coming back again.¡±","<U+B209>NIL<U+B207>The room and the serviceStayed in January 2018"
"12","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Premier Double Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°The staff were friendly, the breakfast was amazing!¡±","<U+B209>The bathroom hook was falling off. One socket was damaged.<U+B207>The staff were friendly, the breakfast was amazing!Stayed in January 2018"
"13","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.9","¡°Toilet¡±","<U+B209>Too small<U+B207>ToiletStayed in December 2017"
"14","United Kingdom","<U+2022> Leisure trip<U+2022> Group<U+2022> Premier Double Room - Non-Smoking<U+2022> Stayed 1 night","9.6","¡°An excellent hotel for an easy relaxed overnight stop at Singapore Airport - worth every penny!¡±","<U+B209>Nothing at all! - just a cautionary note though - as with most international airports please be prepared for quite a bit of walking to get to the hotel but do not let that put you off what you will then experience!<U+B207>The reception staff were excellent and very helpful - with an IHG membership card we were able to hold one of the 2 rooms until 4pm the next day at no extra cost.The room was fabulous and very well equipped.We had landed from Bali at Terminal 2 late into the evening - the Crowne Plaza is adjoining Terminal 3It is very well signposted in the Terminals and as long as you follow the signs and use travelators etc then it is easy to reachEnjoy that fabulous room then have an excellent breakfast next day.There are 2 types of rooms  - one is a set of rooms that is very close to the taxiing aircraft  - the others are on the opposite side and are quiter - neither are that noisy as the sound insulation is excellent! Make time to enjoy the design award outside swimming pool at the hotel set out in a tropical garden theme - just be very careful with sunburn as even with an overcast day the UV is still very strong as you are near the equator.Next day we were travelling from Terminal 1 - use the rapid transit railway - its free!Really could not fault the hotel and its amenities - thank you Crowne Plaza!If this is your first time at Singapore Shangi be aware that in Terminal 1 the security detailed check takes place in the actual room of the departure gate so be prepared for additional time at this last stage before boarding - with A380 Airbus carrying 560+ passengers you need to get to the gate as soon as the board confirms that the gate is classed as ""open"". - hope this helpsStayed in January 2018"
"15","Indonesia","<U+2022> Family with young children<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.6","¡°Location¡±","<U+B209>Over prices<U+B207>LocationStayed in January 2018"
"16","Thailand","<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.2","¡°The breakfast was average and very expensive, it should have...¡±","<U+B209>The breakfast was average and very expensive, it should have been included in the price...Stayed in January 2018"
"17","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.2","¡°Great experience¡±","<U+B207>Great staffsStayed in January 2018"
"18","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Premier Double Room - Non-Smoking<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","10","¡°Good stay!!¡±","<U+B209>There is no in-house carpark. Would be nice to have complimentary parking.<U+B207>Ambience and friendly staff. Farhan at the Recep perhaps the Manager..was friendly and patience in helping out with my enquiries and requests. He is an asset to the organisation. Gd job.Stayed in January 2018"
"19","New Zealand","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.5","¡°The outside construction noise from 3am onwards - woke us up...¡±","<U+B209>The outside construction noise from 3am onwards - woke us up & could not go back to sleep because of the noiseStayed in January 2018"
"20","United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.6","¡°Extremely convenient for the airport.¡±","<U+B207>Extremely convenient for the airport. Excellent restaurant within the hotel.Stayed in January 2018"
"21","New Zealand","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Premier Double Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°A fantastic hotel especially after an 11 hour flight.¡±","<U+B209>Nothing<U+B207>A fantastic hotel especially after an 11 hour flight.  Quick check in, large room with a king size bed and plenty of room for an extra bed for our 10 year old.  Spotlessly clean.  Highly recommend was a great over nighter, but would also be good as a base for a few days in Singapore.  Breakfast buffet was extensive and delicious - and good options for our daughter who must eat gluten free, she was delighted with the separately wrapped bread roll.  Pool looked nice but we had no time to use it.Stayed in December 2017"
"22","Australia","<U+2022> Business trip<U+2022> Solo traveller<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night","9.6","¡°This is a fantastic airport hotel.¡±","<U+B207>This is a fantastic airport hotel. It is within the airport, takes just minutes to get from the hotel to check-in the next morning. Very clean, comfortable bed, big bathroom and most importantly very good sound proofing. Staff are friendly and on the ball, organized my wake up call for me when checking in. Room service food was tasty and delivered quickly.Stayed in January 2018"
"23","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Premier Double Room - Non-Smoking<U+2022> Stayed 2 nights","8.8","¡°I still love the stay!! Easy access to T3 with all the different eateries & wonderful view!¡±","<U+B209>Rain shower head was a bit noisy and making cranky noises. Wardrobe sliding door has a very sharp metal-on-metal sound, seems to be due to wear and tear.<U+B207>View was great! Swimming pool is big. Staff are helpful and smiling.Stayed in December 2017"
"24","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.5","¡°Very convenient for a stay right at the airport ¡±","<U+B209>Small room with very limited view. Long walk to room with confusing hotel layout.<U+B207>Proximity/convenience to airport. Lovely swimming pool. Modern.Stayed in December 2017"
"25","Australia","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.6","¡°The staff were very helpful and the room was peaceful and...¡±","<U+B207>The staff were very helpful and the room was peaceful and luxuriousStayed in January 2018"
"26","Australia","<U+2022> Family with young children<U+2022> Club Twin Room - Non-Smoking<U+2022> Stayed 1 night","9.6","¡°Very pleasant and luxurious. Worth the high price.¡±","<U+B209>Beware if it rains as some areas are exposed to the weather and become extremely slippery when wet.  This is not a criticism of the hotel as the open nature of the property is very beautiful - but it is just necessary to use caution.<U+B207>Excellent location with the MRT just below the hotel.  If you book an executive room, you have use of the Executive Lounge which is a real bonus. Great check-in with very helpful and friendly staff.Stayed in January 2018"
"27","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night","8.8","¡°An escape from the bustling city life¡±","<U+B207>The cleanliness of the room is superb. Room service is fast and excellent. A good stay for a quiet and restful night. Easily accessible to the amenities in changi airport, with lots of food to choose from till late in the night as the airport has numerous 24hr amenities. All in all, a great stay for both tourists and locals. It might be slightly pricey but it is definitely worth the stay and experience.Stayed in January 2018"
"28","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°Loved the room but would not pay for breakfast again¡±","<U+B209>Breakfast was a disappointment. Did not eat properly even though we paid for it. Wi-Fi was wonky and the shower was not working properly.  It ran really hot water and not normal water<U+B207>The bed was extra comfy and we felt right at home.Stayed in January 2018"
"29","Singapore","<U+2022> Leisure trip<U+2022> Group<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°Over-all our stay was very pleasant and satisfactory. Crowne Plaza is definitely recommended.¡±","<U+B209>1.It would be convenient if there is an electrical plug/switch (at least one) in the bathroom for hair dryer. (Though we are not sure if we overlook the the switch).2.Good to consider to have a checking maintenance activity on the room cabinets. Some of the cabinets door inside our room have where detached from the screw once open.<U+B207>1.The Check in and Check out were both very organized and staffs were efficient.2.Concierge staffs were polite and courteous. (When leaving stuffs and during collection)3.Notice that all the staffs are polite, helpful and with a smile on their faces.4.The room is very clean. We love all the amenities5.Fitness centre facilities were very good. (Note:Need to check the water dispenser, the hot water is broken)6.Credits to Azura resto, the satay and peanut sauce taste very delicious. (specially the peanut sauce..taste super good)Stayed in January 2018"
"30","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","10","¡°Excellent service, great location, awesome facilities¡±","<U+B209>Could have bidet or pipe beside the toilet bowl for ease of cleaning<U+B207>Fluffy bed and pillowsStayed in January 2018"
"31","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Premier Double Room - Non-Smoking<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","7.1","¡°Good¡±","<U+B209>The room could have been cleaner. Carpet not vacummed and crumbs found around the video console area.<U+B207>The locationStayed in January 2018"
"32","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.6","¡°Amazing¡±","<U+B209>Came here thrice. Recent one, Some of the items in the room was spoilt :-(<U+B207>Views and ambienceStayed in January 2018"
"33","United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.6","¡°Great hotel and facilities¡±","<U+B209>Coffee and tea facillities were basic in the room<U+B207>Public areas and the bars and restaurantsStayed in January 2018"
"34","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Premier Double Room - Non-Smoking<U+2022> Stayed 1 night","9.2","¡°Excellent and very comfortable.¡±","<U+B209>Nil<U+B207>The room was big and wonderful. The bed was extremely comfortable as was the overall stay.The breakfast was delicious and had a good spread. Will consider another stay again in future.Stayed in December 2017"
"35","United Kingdom","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> King Suite - Non-Smoking<U+2022> Stayed 1 night","7.5","¡°great location, great breakfast, great pool.¡±","<U+B209>Sheets were not clean on my bed. Staff were very slow to bring bedding for the children despite it being late at night and them needing to go to bed ASAP. Took 3 calls to get this resolved. They also reduced the late check out available to hotel members without notice on account of it being busy.<U+B207>great location, great breakfast, great pool.Stayed in December 2017"
"36","USA","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°Airport conveniece¡±","<U+B209>No complaints. Had a nice stay.<U+B207>Attached to terminal 3 of Changi Airport. MRT station attached to terminal which gives you transport to all of Singapore at reasonable rates and dependable schedules. Rooms are nice and reasonably quiet. Short walk to all the airport fast foods and restuatants. Didn't try the hotel outlets. Pool looks nice bit didn't have time to try.Stayed in December 2017"
"37","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Premier Double Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","8.3","¡°Bed was comfortable¡±","<U+B209>Breakfast<U+B207>Bed was comfortableStayed in December 2017"
"38","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","8.8","¡°Easy access at airport¡±","<U+B207>Easy access at airportStayed in December 2017"
"39","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°Excellent¡±","<U+B209>None<U+B207>Cleanliness and comfortable.Stayed in December 2017"
"40","United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 2 nights","9.2","¡°Comfortable and exceptionally convenient, but restaurants over-priced.¡±","<U+B209>Restaurants were rather expensive<U+B207>The location, easy access from the airport and easy access to the MRT trains to visit the city.Comfortable room.Stayed in December 2017"
"41","Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°It was great and suited our needs.¡±","<U+B207>The rooms are very nice and quiet, nicely finished.Stayed in December 2017"
"42","Singapore","<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","10","¡°It was a good staycation.¡±","<U+B207>The ambience was great. Room is cosy. Staff friendly.Stayed in December 2017"
"43","Mauritius","<U+2022> Group<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night","9.6","¡°Pratical¡±","<U+B209>The only disadvantage for us was that the room was located in another building and we had to travel a whole corridor and then get access to the elevator. But there is nothing that can be done here. It's the structure of the building itself.<U+B207>The location for me was an advantage because we had a flight the next morning. The bed was very comfortable and the breakfast was very good. It was peaceful and we had a very good night of sleep.Stayed in December 2017"
"44","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Premier Double Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.6","¡°Great stay conveniently located at the airport¡±","<U+B209>I liked everything.<U+B207>A great place to break up your journey. Breakfast was excellent, the hotel is close enough to the city for most things and it is right at the international arrivals / departures hall for easy access. We arrived at 0140hrs and the staff allowed us a very late check out which was greatly appreciated.Stayed in December 2017"
"45","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°Great place to stop over between Changi flights¡±","<U+B209>Nothing<U+B207>Convenient five star airport hotelStayed in December 2017"
"46","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°Very good.¡±","<U+B207>The reception and concierge staff were most helpfula<U+0080><U+0094>thank you.Stayed in December 2017"
"47","Germany","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","9.6","¡°Hotel exceeded my expectations, extremely nice and modern...¡±","<U+B209>Breakfast rather on the pricey side<U+B207>Hotel exceeded my expectations, extremely nice and modern rooms, great pool area that we used before our room was ready to check in, very close to airport (walking distance)Stayed in December 2017"
"48","United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 2 nights","10","¡°Very convenient and great hotel¡±","<U+B207>Very convenient and great hotelStayed in December 2017"
"49","Vietnam","<U+2022> Family with young children<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 2 nights","6.7","¡°So so¡±","<U+B209>No comments<U+B207>No commentsStayed in December 2017"
"50","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Premier King Room with Pool View<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°Rejuvenate¡±","<U+B209>Nil<U+B207>The pool view & the ambience is calming & relaxing.Stayed in December 2017"
"51","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.6","¡°Close to airport¡±","<U+B209>Nothing <U+B207>Close to airportStayed in December 2017"
"52","Australia","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night","10","¡°Very much recommend!¡±","<U+B207>The bathroom was beautiful, quite large, and included a free standing bath. The free toiletries included a razor, shampoo and conditioner, emery boards, sewing kit, and more. The bed was extremely comfortable. The room was clean with nice, modern furnishings.Stayed in December 2017"
"53","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Premier Double Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","6.7","¡°Hotel Complimentary Parking or Free Valet for Hotel Guests¡±","<U+B207>Hotel Complimentary Parking or Free Valet for Hotel GuestsStayed in December 2017"
"54","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Club Double Room - Non-Smoking<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","9.6","¡°Fantastic run-way view.¡±","<U+B209>AZU restaurant is super busy and crowed. The staffs are all doing their best in accommodating and making sure our requests are met. Thanks for working on Xmas eve and the festival sessions to serve us. We truely appreciated it. <U+B207>Fantastic run-way view. Comfortable bed and pillows. Very accommodating staffs. Our returned staycation with the hotel. Booked 2 nights this time. It's really good. Special thanks to Jane  Soh, David and special compliment to Ms Zahirah for being so kind to us at the club lounge. Stayed in December 2017"
"55","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Premier King Room with Pool View<U+2022> Stayed 1 night<U+2022> Submitted via mobile","6.7","¡°Cleanliness¡±","<U+B209>No complimentary carpark coupon provided<U+B207>CleanlinessStayed in December 2017"
"56","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Club Double Room - Non-Smoking<U+2022> Stayed 2 nights","9.6","¡°Despite its short-comings, this is the best Airport Hotel i've ever stayed and worthy of its 5-Stars¡±","<U+B209>The hose connecting to the shower head was broken and leaking water, thankfully I could switch to using the rain shower.The pool water is too cold for a comfortable dip into the pool.The food in Azure restaurant is average. Nothing really nice there despite all the hype I got. It lacks quality.The corridor is open-air. So you can smell the exhaust fumes from the planes parked at the terminal. The take-off and landing of planes can be pretty loud at times. The noise seeps through the gaps of the main-door. Since it's an airport hotel, and Changi Airport is such a busy airport, this should be expected.<U+B207>Very spacious room and bathroom. Bed is very comfortable. The air-conditioning works like a charm. Lots of channels on TV. Room came with pool access and it's a really convenient way of getting to the pool.  The lounge is a really great place to chill and relax. The staff in the lounge were really attentive and replenish your drink very quickly. Very easy access to shopping at the airport.Stayed in December 2017"
"57","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Premier Double Room - Non-Smoking<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","7.5","¡°No other hotels can offer you a runway view.¡±","<U+B209>Check in and out counter could be more efficient.<U+B207>The bathtub and the bed was comfy. It was not noisy at all despite staying right beside the runway.Stayed in December 2017"
"58","United Kingdom","<U+2022> Business trip<U+2022> Solo traveller<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.2","¡°Convenient and pleasant airport stay¡±","<U+B207>Very easy to access from the airport. Super convenient for an overnight stay before taking off, as was my case. Extremely clean and attentive staff, keeping in line with crowne plaza standards. It was a pleasant stay and would recommendStayed in December 2017"
"59","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","9.6","¡°Wonderful. Highly recommended.¡±","<U+B209>Pool water was cold even in 32 degree heat; breakfast restaurant chaotiy busy but plenty of food options.<U+B207>So close to arrivals hall in terminal 3 - perfect for a 2 night stopover with a very late arrival. Super comfy bed and gorgeous bathroom. Got train into city one day and had fabulous day. Loved Singapore.Stayed in December 2017"
"60","Australia","<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","4.6","¡°Stay here if you need to¡±","<U+B209>Staff booked in a wake up call for us but did not wake us up or call in the morning leaving us with 30 mins to board international flight..... Words cannot express how painfull this was.Stayed in December 2017"
"61","USA","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.6","¡°Easy, comfortable¡±","<U+B207>Easy, comfortableStayed in December 2017"
"62","Canada","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","6.3","¡°Expensive rooms¡±","<U+B209>Took over 30 minutes to check in at 2am. I had booked 2 previous nights via booking.com and could not add a 3rd. I would have been given a cheaper rate if I booked all 3 nights. The hotel said I had to deal with booking.com and booking.com said I had to deal with the hotel. It took booking.com 10 days to answer my inquiry. Next time I will book directly with the hotel.<U+B207>Easy access from the airport terminal and to the metro.Stayed in December 2017"
"63","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.6","¡°Linked to Changi Airport where food is readily available.¡±","<U+B209>The TV was just too small. The ratio of the TV size to the distance of the bed was totally off. Considering it was a staycation, enjoying TV shows was off the checklist.<U+B207>Linked to Changi Airport where food is readily available. Room was big and comfortable.Stayed in December 2017"
"64","United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°Super convenient to and from airport.¡±","<U+B207>Super convenient to and from airport. Very friendly and helpful staff. Nice by the poolStayed in December 2017"
"65","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","9.6","¡°Very convenient location excellent custom service would thoroughly recommend¡±","<U+B207>Good custom serviceStayed in December 2017"
"66","Australia","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.2","¡°Transit¡±","<U+B209>Things were a bit pricey<U+B207>Good location, facilities and serviceStayed in December 2017"
"67","Canada","<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night","8.8","¡°Another satisfactory stay.¡±","<U+B209>Better signage (directions to one's room).<U+B207>Right in the airport. Perfect for breaking up a long trip into manageable segments.Stayed in November 2017"
"68","Australia","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","8.8","¡°Good and bad ¡±","<U+B209>Too expensive for what itbis<U+B207>Beautiful roomStayed in December 2017"
"69","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.2","¡°Excellent¡±","<U+B209>Nothing- all good<U+B207>Bed size, bathroom, breakfast rangeStayed in December 2017"
"70","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Premier King Room with Pool View<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°Pleasant staycation for family¡±","<U+B207>Hotel is conveniently located for family who plans a short stay within Singapore at a good rated hotel with good deals. Recommended for travellers and locals e<U+009F><U+0091><U+008D>a<U+009D>¡è<U+00EF><U+00B8><U+008F>Stayed in December 2017"
"71","USA","<U+2022> Solo traveller<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°Simply amazing. Close to everything especially the airport.¡±","<U+B209>Nothing. I was happy.<U+B207>Crown plaza is a world class outstanding hotel. I have no regrets.Stayed in December 2017"
"72","Malaysia","<U+2022> Solo traveller<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","6.3","¡°The room is clean.¡±","<U+B209>No bath salt or bubble bath provided for a soak in the bath tub!<U+B207>The room is clean.Stayed in December 2017"
"73","Singapore","<U+2022> Leisure trip<U+2022> Group<U+2022> Premier Double Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°The room is well designed¡±","<U+B207>The room is well designedStayed in December 2017"
"74","Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Premier Double Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","6.3","¡°Clean and convenient but staff could be more customer focused¡±","<U+B209>Staff were not very helpfulStayed in December 2017"
"75","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night","9.2","¡°Great place to stay if you are using hte airport¡±","<U+B209>couldn't really comment, only spent 1 night there before flying out<U+B207>If you are using the airport its fantastic. Couldn't really fault the amenities and the room. Just not a great place to stay if you are in Singapore as a tourist, bit far out of town. Having said that its an hour to city by train, and the public transport system is very easy to use.Stayed in December 2017"
"76","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 2 nights","9.6","¡°Great Staycation away from the city¡±","<U+B198>NA<U+B200>have always chosen this place as its fun shopping and dining  at all the 4 Terminals at my own pace. GST absorbed for shopping , that's the plus point.Stayed in December 2017"
"77","Australia","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.6","¡°Works well for a convenient place to stay between flights. I would use this hotel again.¡±","<U+B198>Reception queue felt slow<U+B200>Location and convenience. Room service punctual with healthy menuStayed in December 2017"
"78","Taiwan","<U+2022> Leisure trip<U+2022> Couple<U+2022> Premier Double Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.6","¡°Nice¡±","<U+B200>Good for service and good for breakfastStayed in December 2017"
