"","nationality","tags","score","content","content_detail"
"40","Pakistan","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe Adjoining Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","4.6","¡°Location ¡±","<U+B209>Staff training And maintenance <U+B207>Location Stayed in December 2017"
"41","Singapore","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","3.8","¡°Service and cleanliness was lacking.¡±","<U+B209>Service and cleanliness was lacking.Stayed in December 2017"
"42","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 2 nights","7.5","¡°The room aircon is not strong enough¡±","<U+B209>The room aircon is not strong enoughStayed in December 2017"
"43","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","10","¡°Stay at Siloso Beach Resort¡±","<U+B209>I like everything about the property.<U+B207>Very big pool and near the beach. Near the Beach Station. My children enjoyed themselves.Stayed in December 2017"
"44","United Arab Emirates","<U+2022> Leisure trip<U+2022> Group<U+2022> Superior Double or Twin Room<U+2022> Stayed 7 nights<U+2022> Submitted via mobile","7.5","¡°Ok for the value of money¡±","<U+B209>Bed was not comfortable<U+B207>The hotel care about environment and societyStayed in November 2017"
"45","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","8.3","¡°Stay in December 2017¡±","<U+B209>Long walk for kids from the train station. Rooms too small.<U+B207>The eco tour was good. The swimming pool is nice. Breakfast is sufficient.Stayed in December 2017"
"46","Singapore","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","6.3","¡°Maybe need to set up bathrobes in the room.¡±","<U+B207>Maybe need to set up bathrobes in the room.Stayed in December 2017"
"47","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.5","¡°This is my family's second stay in the hotel; relatively good.¡±","<U+B209>variety of food (breakfast)<U+B207>Eco friendlyStayed in December 2017"
"48","Malaysia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe Adjoining Room<U+2022> Stayed 1 night","7.1","¡°Overall good experience and worth it.¡±","<U+B209>I know this area is full of tourists but I think the room charge should be lower especially when you have a so-so restaurant.<U+B207>The room is quite spacious and clean with good facilities.Stayed in December 2017"
"49","Switzerland","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe Double or Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","5.0","¡°Too crowded and noisy¡±","<U+B209>Too crowded and noisyStayed in December 2017"
"50","Singapore","<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","10","¡°Im in love¡±","<U+B209>Prolly the variety of food for the breakfast buffet<U+B207>Super spectacular pool and nice jacuzziStayed in December 2017"
"51","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.5","¡°Nil¡±","<U+B209>Waiting for extra bed take about 4hrs<U+B207>Bed is comfyStayed in December 2017"
"52","Singapore","<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.5","¡°Location¡±","<U+B209>Reception hard to find<U+B207>LocationStayed in December 2017"
"53","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 2 nights","4.2","¡°it appears only 2 start not a 4 start hotel¡±","<U+B209>Poor facilities, ants in room, one young man receptionist appears rude.<U+B207>good quiet location for morning walk.Stayed in December 2017"
"54","South Africa","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°Excellent¡±","<U+B209>Needs a left luggage area which is more secure<U+B207>Nice environmentStayed in December 2017"
"55","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Roof Garden Suite Queen<U+2022> Stayed 1 night","4.2","¡°Overpriced due to location, would have preferred quiter and well maintained,cleaner rooms¡±","<U+B209>There was renovation going on right next to our room when we checked in. When requested they said it will be carried on till maintenance guy finish there work.we booked Roof garden Suite. Room is very small.roof garden was not cleaned up, bathroom can fit only one kid..too small for adults. No floor mats in the room to clean up your feet( room becomes super messy after coming back from beach or swimming pool ). Breakfast spread was ok..other than swimming pool, no entertainment for kids inside hotel. would need to go out to keep them engaged.<U+B207>The only good thing about this resort was swimming pool!Stayed in December 2017"
"56","Singapore","<U+2022> Leisure trip<U+2022> People with friends<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.9","¡°Friendly staff , clean room n close to the beach :D will...¡±","<U+B207>Friendly staff , clean room n close to the beach :D will definitely book the 4th time :D Stayed in December 2017"
"57","Sweden","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","10","¡°Relaxing stay in a djungelhotel¡±","<U+B209>There were too few towels by the pool now and then.<U+B207>All plants make a sense of djungel which I loved! The pool is marvellous and with salted water.Stayed in December 2017"
"58","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","6.3","¡°Need to change the room due to air conditioner not working..¡±","<U+B207>The environment is nice wz greenery.Stayed in December 2017"
"59","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe Double or Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","8.3","¡°Nice time spend with families.¡±","<U+B209>- Gym accesories were rusty. Not well maintain. - Requested to clean the room n change bed sheets but it took too long.<U+B207>The swimming pool. Beautiful sceneryStayed in December 2017"
"60","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.1","¡°Eco friendly theme which is good and meaningful.¡±","<U+B209>Hotel can be cleaner. Breakfast staff was friendly and helpful! However hope for more varieties for breakfast buffet. <U+B207>Eco friendly theme which is good and meaningful. Unique spring poolsStayed in December 2017"
"61","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night","7.5","¡°The swimming pool is nicely located in the nature.¡±","<U+B209>The breakfast is very simple<U+B207>The swimming pool is nicely located in the nature.Stayed in December 2017"
"62","Singapore","<U+2022> Leisure trip<U+2022> People with friends<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.9","¡°The staff can improve on their hospitality ¡±","<U+B207>The pool and location Stayed in December 2017"
"63","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe Adjoining Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.5","¡°Good confo¡±","<U+B209>No comments<U+B207>NatureStayed in December 2017"
"64","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe Double or Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","7.1","¡°The cafe can be upgraded.¡±","<U+B209>The cafe can be upgraded.Stayed in December 2017"
"65","Singapore","<U+2022> Group<U+2022> Superior Double or Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","9.2","¡°The gym should be maintain properly equipment were rusty and...¡±","<U+B209>The gym should be maintain properly equipment were rusty and some of the equipment could not be use. overall the resort is beautiful with friendly staff. Makes you feel like home :) will defitenely come back again :)Stayed in December 2017"
"66","Singapore","<U+2022> Leisure trip<U+2022> Group<U+2022> Superior Double or Twin Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","4.6","¡°Great location near siloso beach.¡±","<U+B209>Hot water in the shower was more luke warm. Bed had old sheets, stains and tears.<U+B207>Great location near siloso beach. Plenty of greenery around.Stayed in December 2017"
"67","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 3 nights","10","¡°Amazing hotel, pool and amazing staff!¡±","<U+B209>Nothing<U+B207>Amazing resort with excellent staff. We arranged the hotel's airport shuttle with ease and it was waiting for us for both our arrival and departure. We were upgraded to a bigger room and staff were sooo helpful. The pool area is reason enough to stay here. SOOO good. Breakfast was invcluded each day with a great variety from the buffet.Stayed in November 2017"
"68","Singapore","<U+2022> Leisure trip<U+2022> Group<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.5","¡°Comfortable. Service was good.¡±","<U+B209>The wifi had a quota and telecom signal in the room is very bad. Only had one room card per room. Breakfast was slightly disappointing.<U+B207>There was a pool and jacuzzi. Trees all around made the place a relaxing stay. Staff were nice and friendly.Stayed in December 2017"
"69","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Roof Garden Suite Queen<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.2","¡°Great place¡±","<U+B209>Wish the variety for breakfast was more<U+B207>Water for swimming pool is spring water . Non chlorine . InterestingStayed in December 2017"
"70","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","4.6","¡°None¡±","<U+B209>Cleanliness and place not really well maintained<U+B207>NoneStayed in December 2017"
"71","Singapore","<U+2022> Group<U+2022> Superior Double or Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","7.5","¡°fine¡±","<U+B209>swimming pool dirty.<U+B207>the aircon is not cold enough. swimming pool was dirtyStayed in December 2017"
"72","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> 2 rooms<U+2022> Stayed 1 night","7.9","¡°Enjoyable and unhurried time¡±","<U+B207>I like the eco environment and the effort of the Management in keeping the environment green.  I also applaud the Management employing special needs staff.  My family members already booked few nites stay, we are coming back again within this month for R & R.Stayed in December 2017"
"73","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe Adjoining Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.5","¡°Good for family.¡±","<U+B209>Breakfast can have more variety <U+B207>Eco friendly. Friendly staff. Nice shampoo and shower gel providedStayed in December 2017"
"74","Hong Kong","<U+2022> Business trip<U+2022> Group<U+2022> Superior Double or Twin Room<U+2022> Stayed 3 nights","7.9","¡°location¡±","<U+B209>pool was quite noisy.<U+B207>locationStayed in December 2017"
"75","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","5.4","¡°It has improved compared to previous years. At least there is in-room wifi now¡±","<U+B209>Poor breakfast. Leaking toilet n shower<U+B207>Near Zouk outStayed in December 2017"
"76","Singapore","<U+2022> Leisure trip<U+2022> Group<U+2022> Superior Double or Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","8.8","¡°Overall, it was a pleasant stay.¡±","<U+B209>The breakfast provided by the hotel is edible but not very good. The ham was overcooked so it tasted like rubber. The selection of food is very limited as well.The reception desk is quite hard to get to as it is located at the 8th floor inside the hotel.<U+B207>The bed was very comfy and the soap provided in the shower was very nice. The bedroom slippers were soft and kept my feet warm. The porridge that was prepared for breakfast was delicious.Stayed in December 2017"
"77","Brunei Darussalam","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","8.3","¡°Green hotel giving opportunities to special people. ¡±","<U+B209>Looking a bit ""tired"" . Needs a makeover. <U+B207>Green environment. Nice pool. Several special needs people employed. Stay here and support these people. Stayed in December 2017"
"78","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 3 nights","7.5","¡°An eco friendly hotel that does not make u feel that u need to give up luxury to be eco friendly!¡±","<U+B209>The airconditioning could have been better in that it could have been controlled by the customers instead of being centrally controlled which can prove to be rather warm at times.<U+B207>The spring water pool and the hot spring spa pool were a very nice touch! My whole family utterly enjoyed it!Stayed in December 2017"
"79","Sweden","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","10","¡°A well situated hotell with a very nice atmosphere with a huge amount of plants.¡±","<U+B209>The breakfast is more local than continental but this is part of travelling and we found it quite ok.<U+B207>The hotel is imbedded in a djungle which is really nice. The hotel is just a few meters from the Beach. The pool is large and we loved it!Stayed in December 2017"
"80","United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","5.8","¡°Pool was great 4 star standard, rooms 3 star and cafe 2 star. Staff friendly and good location.¡±","<U+B209>Rooms were tired and cafe / breakfast area poor e.g. Old Plastic mugs for orange juice! Plastic plates etc definitely not 4 star standard!<U+B207>Pool area was excellentStayed in December 2017"
"81","Singapore","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","6.3","¡°Near Beach¡±","<U+B209>No amenities<U+B207>Near BeachStayed in December 2017"
"82","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","7.5","¡°Beware of ants & mosquitoes¡±","<U+B209>The room is crawling with ants. There're mosquitoes too. My daughter was bitten 3 times when we 1st arrived.<U+B207>2nd time here. Facilities were quite good. My family enjoy the pool.Stayed in December 2017"
"83","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°Reasonable price¡±","<U+B207>Reasonable priceStayed in December 2017"
