"","nationality","tags","score","content","content_detail"
"24","United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe Twin Room<U+2022> Stayed 1 night","9.2","¡°Quite possibly the most spectacular place to stay in Singapore!¡±","<U+B198>It's an icon of Singapore and comes with that price tag - if you're just stopping through this is definitely the place to stay as a treat!<U+B200>We were on our way to New Zealand so only stayed here for one night. The views from our hotel room of the Gardens by the Bay was amazing - especially at night time. The infinity pool is something you can only appreciate in person with sweeping views of Singapore - although it can certainly get pretty windy at the top!Stayed in December 2017"
"25","United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe King Room<U+2022> Stayed 2 nights","8.8","¡°Great stay in beautiful Singapore¡±","<U+B198>Maybe that it's just too big? I think I personally prefer smaller hotels with more personal approach.<U+B200>It's Sands, what can you say! Massive hotel, multiple restaurants, nice rooms, great location. Plenty of choices what do - I would really recommend Gardens by the Bay and of course the infinity pool. There is a big mall attached to the hotel, where you can find multiple restaurants, and the hotel itself is very well connected with the public transport network.Stayed in December 2017"
"26","Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe King Garden View Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°Excellent trip!¡±","<U+B200>excellent location along with all facilities around!Stayed in January 2018"
"27","Australia","<U+2022> Leisure trip<U+2022> Group<U+2022> Deluxe Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","9.2","¡°Everyone needs to stay here at least once in their lives.¡±","<U+B198>Rise dining was well below par.<U+B200>Great hotel, great staffStayed in January 2018"
"28","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe King City View Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°Good experience for a staycation¡±","<U+B198>Na<U+B200>Accommodation are superb !Stayed in January 2018"
"29","Australia","<U+2022> Leisure trip<U+2022> Group<U+2022> Premier Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","10","¡°Great!¡±","<U+B198>Food and drinks were a little pricey but quality.<U+B200>My prime reason for booking this hotel was to experience the facilities at the pool on the top level. I was not disappointed. I enjoyed my stay immensely.Stayed in December 2017"
"30","Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe King Garden View Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.5","¡°Amazing hotel room quality, and the swimming pool of course!¡±","<U+B198>Earliest check out time, should ready at only 11.00am. Bathroom door should with lock.<U+B200>Amazing balcony ocean view. And great sound proof doors.Stayed in December 2017"
"31","Brunei Darussalam","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Premier Twin Garden View Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.6","¡°Loving the stay, memorable experience , super duper pool and surroundings¡±","<U+B198>Over crowded at the infinity pool<U+B200>Love the comfortable bed and the lively surroundingse<U+009F><U+0098><U+008D> the hotel is in the city , shopping is close by , access to mrt is easyStayed in January 2018"
"32","United Arab Emirates","<U+2022> Leisure trip<U+2022> Couple<U+2022> Premier King Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","6.7","¡°Only money¡±","<U+B198>Doesnt deserve that cost , they charged me more for better room which was worse then first room , very loudy , even they charged coffe and teas as well<U+B200>Multiple attractions , good restaurantsStayed in January 2018"
"33","Sweden","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe King City View Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","7.5","¡°Fun to see. Not going again¡±","<U+B198>We felt as we were Living on a industrial band. To much people and stressful environment. Staff from nice to mediocre.<U+B200>Fun to have stayed there as it is a landmark. Good location in SingaporeStayed in December 2017"
"34","Canada","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Premier Twin Garden View Room (3 Persons) <U+2022> Stayed 1 night<U+2022> Submitted via mobile","8.8","¡°Very nice but a little over priced in my opinion.¡±","<U+B198>Forgot bracelet in the room and they never found it  :(<U+B200>Very nice but a little over priced in my opinion.Stayed in December 2017"
"35","Algeria","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Deluxe King Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","9.2","¡°Swimming pool e<U+009F><U+0098><U+0081>¡±","<U+B198>Time in the queue for check in <U+B200>Swimming pool e<U+009F><U+0098><U+0081>Stayed in December 2017"
"36","United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe King Room<U+2022> Stayed 2 nights","10","¡°just came off a cruise and a perfect way to finish the perfect holiday¡±","<U+B200>Staff amazing. facilities second to noneStayed in December 2017"
"37","Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe Twin Garden View Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","9.2","¡°Excellent ¡±","<U+B198>Clean and nice<U+B200>Excellent Stayed in January 2018"
"38","New Zealand","<U+2022> Leisure trip<U+2022> Couple<U+2022> Premier King Room (3 Persons)<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","3.8","¡°Wona<U+0080><U+0099>t be back¡±","<U+B198>Disappointing and over priced, staff didna<U+0080><U+0099>t want to help you either to busy trying to do nothing<U+B200>The poolStayed in January 2018"
"39","Singapore","<U+2022> Group<U+2022> Deluxe King Garden View Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","5.0","¡°Not happy¡±","<U+B198>The hotel buffet at 1st floor lobby was terrible, the food are terrible,the service are terrible.<U+B200>Nothing at allStayed in January 2018"
"40","United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe King Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.1","¡°Not bad¡±","<U+B198>Overpriced for what it was, rooftop pool was a lot colder than imagined<U+B200>Perfect location, friendly staff and nice bedsStayed in January 2018"
"41","United Arab Emirates","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe King Garden View Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","8.3","¡°Gr8 hotel , too much options , view is nice¡±","<U+B198>Not logical prices<U+B200>Gr8 hotel , too much options , view is niceStayed in January 2018"
"42","Lebanon","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe King Harbor View Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","10","¡°Unforgettable stay¡±","<U+B198>Nothing<U+B200>Infinity pool cleanliness staff various choices of restaurants everything was amazingStayed in January 2018"
"43","Portugal","<U+2022> Leisure trip<U+2022> Group<U+2022> The Club Room King City View<U+2022> Stayed 2 nights","9.6","¡°Awesome hotel!¡±","<U+B198>The temperature of the water in the pool could have been a bit warmer.<U+B200>The hotel is in of itself a great place to stay for a while. The pool has a great view both day and night. The breakfast is great at any of the restaurants. The room is spacious and clean.Stayed in December 2017"
"44","United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe King Room<U+2022> Stayed 1 night","9.6","¡°Amazing¡±","<U+B200>The staff were excellent, letting us check in two hours early as our room was ready. Watching the sunrise from the Jacuzzis on the 57th floor was a bucket list moment. The whole pool area exceeded my expectations although the bar was overpriced. The Cheese + Chocolate Buffet was divine.Stayed in December 2017"
"45","Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> The Grand Club King Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.2","¡°Everything is good... love food here... hope there are more discount e<U+009F><U+0098><U+0080>¡±","<U+B198>To expensive<U+B200>Nice view.. food yummyStayed in January 2018"
"46","United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Premier King Room<U+2022> Stayed 1 night","7.1","¡°Very disappointing.  Ticked the box but wouldn't stay there again¡±","<U+B198>Hotel was just too big and impersonal.  Check in was liking queuing for a Disney ride and the hotels main attraction, the pool was like a human zoo !!Unless you were up at the crack of dawn, it was nearly impossible to get a bed and even when you did, people were stepping all over you.Stayed in December 2017"
"47","United Arab Emirates","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe King City View Room<U+2022> Stayed 1 night","4.6","¡°very hearthbreaking hotel, just beautiful pool and view¡±","<U+B198>they are really penny pincher. we paid a lot of many for room but they put just 2 little water and packed nescafe. there was not any welcome drink, fruits or anything... we waited for a long time for check in, there is an incredible queue for check in... the hotel personel are not friendly and good humoured. there is just one single seater and you can't seat it for 2 people. pool restorants are very weak and expensive. the worst of all the room smelling like a toilet because the toilet was clogging. they solved the problem but smelling had never gone. we closed the toilet's door all times to be able to breathe.<U+B200>pool and view are amazing.Stayed in December 2017"
"48","USA","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe King Harbor View Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.6","¡°I hope there are more deals  and promotion¡±","<U+B198>The omelet in adrif restaurant is too dry and overcooked<U+B200>everythingStayed in January 2018"
"49","United Arab Emirates","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe King Garden View Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.6","¡°Very nice experience! Everybody who come to Singapore should try it!¡±","<U+B198>The water in the pool is very cold. After check out you cannot access the pool and facilities. This is not good for those who have the flight late in the same day with check out.<U+B200>The pool is amazing. Good location and great view on both ways. At the ground floor there is a huge mall and a nice casino.Stayed in January 2018"
"50","Romania","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe King City View Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","8.8","¡°Great location and views¡±","<U+B198>Bad bathroom smell coming from the sink. Long queues at check-in.<U+B200>Amazing city view, comfortable bed & pillows, huge roomStayed in January 2018"
"51","Taiwan","<U+2022> Leisure trip<U+2022> Couple<U+2022> Premier King Room<U+2022> Stayed 1 night","9.6","¡°Love the view from my room and also the bed is magic soft.¡±","<U+B198>Expensive...But next time I will stay in this place again:(<U+B200>Love the view from my room and also the bed is magic soft. Swimming pool with chips and wine, over the moon:))Stayed in December 2017"
"52","Romania","<U+2022> Leisure trip<U+2022> Couple<U+2022> Premier Twin Room<U+2022> Stayed 1 night","10","¡°what more.. ? all is perfect, bed, room , pool, view :)¡±","<U+B198>That you need to pay a 200 S$ insurance . At checkout the money will be returned to you.<U+B200>The bed is extra comfy.The room is big, and clean.We had a twin bed room, that had a fantastic view of the city.The infinity pool is incredibleAfter checking out , you can leave your luggage a few hours, at no charge.Stayed in December 2017"
"53","United Kingdom","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room (3 persons)<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","10","¡°The family room was modern extremely large and had a view...¡±","<U+B198>Nothing<U+B200>The family room was modern extremely large and had a view over to gardens of the bay the electric blinds and revolving tv were something out of a James Bond villains palace the bed was extremely comfortable the staff were extremely helpful and Ustinov made out whole stay amazing the prices at cela vie were expensive but anyone staying here should really know that to live in such luxury also has a price and we found it reasonable some other reviews will state otherwise but do not let this put you off if you wish to find cheaper meals they can be found at the hawker centres which our fantastic value and amazing food from locals the Chlli Crab is a must and I love the fish soup and chicken rice at the maxwell centre our balcony at our room was one of the best features of our stay the view was romantic but also great as Singapore climate is very warm so we found being able to sit out of an evening was great which wouldna<U+0080><U+0099>t have been possible from a higher floor the position of the hotel is fantastic and you can walk for a cheaper breakfast in boomerang a Austrailian bar about ten minutes walk around the bay towards the Fullerton hotel and the light show which the hotel put on us stunning I would definitely stay here again the hotel staff are amazing the concierge were totally fantastic and the check was quick with our bags awaiting us at our hotel door once we got up to our room the fantastic facilities at this hotel are amazing and just a small walk down towards the casino and marina bay shops land you at bayfront MRT station without leaving the hotel from here you can travel and have an evening meal in Chinatown maybe another evening meal at little India and we also ventured to sungei bullu wetland reserve which was another highlight of our trip in which we came up close to monitor lizards and crocodiles as well as lots of other wild Singapore animals and experienced the rainforest of Singapore e<U+009F><U+0087><U+00B8>e<U+009F><U+0087><U+00AC> such an amazing trip and we didna<U+0080><U+0099>t even mention the breathtaking views...Stayed in December 2017"
"54","Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe Twin Garden View Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","9.6","¡°Overall Fantastic!!..¡±","<U+B198>We have a very late flight so I asked if we could use the pool area after our 1pm checkout & the answer was NO! We would have bought drinks & food while we were there so really ita<U+0080><U+0099>s their loss. Would have had dinner @ one of the hotel restaurants before heading to the airport, now wea<U+0080><U+0099>ll just get to the airport early, have a look around & have dinner there.Stayed in December 2017"
"55","Lebanon","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe King City View Room<U+2022> Stayed 3 nights","10","¡°Will definitely come back¡±","<U+B198>Nothing<U+B200>EverythingStayed in December 2017"
"56","Russia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.2","¡°Swimming pool, skypark¡±","<U+B198>We were expected more from room  for this money.<U+B200>Swimming pool, skyparkStayed in January 2018"
"57","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Special Offer - Premier King City View Room <U+2022> Stayed 2 nights<U+2022> Submitted via mobile","10","¡°Better than expected, the pool and the view is really worth it¡±","<U+B198>Seven eleven is very far away<U+B200>The viw and the pool. Also roomsize, facilities and gen infrustructureStayed in December 2017"
"58","Thailand","<U+2022> Leisure trip<U+2022> Group<U+2022> Deluxe King Garden View Room<U+2022> Stayed 1 night","8.8","¡°Very nice!!!¡±","<U+B198>1 room that I have booked had a bad smell and air conditioner doesn't worked until hotel officer fix it.<U+B200>Very good hotel, located in good location NICE!!!Stayed in January 2018"
"59","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> The Club Room King City View<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.6","¡°An amazing hotel in the best location¡±","<U+B198>Quite costly at rooftop bar - I know singapore expensive however was still surprised at 75 dollars for two drinks<U+B200>Ita<U+0080><U+0099>s the most amazing location with everything you need right on the hotel. Staff attentive and whole experience great. The infinity pool is spectacular perched on the edge with great views. We had club 55 which was very good value as well as afternoon tea.Stayed in January 2018"
"60","USA","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> The Grand Club King Room<U+2022> Stayed 2 nights","10","¡°everything¡±","<U+B200>everythingStayed in December 2017"
"61","United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe King Room<U+2022> Stayed 3 nights","2.9","¡°ok would not stay there again¡±","<U+B198>location is good otherwise hotel is completely overrated and overpriced , it is a market placeStayed in December 2017"
"62","United Arab Emirates","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe King Room<U+2022> Stayed 1 night","9.6","¡°Once in a lifetime experience. If you're in Singapore! A must do even if it's for 1 night!¡±","<U+B198>Absolutely nothing.<U+B200>- What an amazing hotel. Just breathtaking. Seeing the pictures and actually being there was way more amazing that I expected. - Very exclusive access to the rooms and to the infinity pool for hotel guests only.- Amazing room set up- We got early check in and late check out because it was Christmas- 23rd floor room with GARDENS BY THE BAY view- MRT station walking distance - Easy access to Gardens by the Bay. - Infinity pool has been on my bucket list forever and it was something I've never seen before anywhere and I live in the UAE!- Emirates Palace was on on the top of our list for best hotels but this definitely beat that!- Cute little bunny set up with towels in the room- Great TV channels- Fantastic access to the Marina Mall - Concierge lent us umbrellas as it was raining outside free of charge - Juice on arrival on check in- Bathroom was huge especially the showerWe stayed 1 night to see the hype and to really just do the infinity pool but this hotel fully exceeded our expectations. Great job Marina Bay Sands. Just wow.Stayed in December 2017"
"63","Germany","<U+2022> Leisure trip<U+2022> Group<U+2022> The Club Room King City View<U+2022> Stayed 3 nights","10","¡°no adults only areas in the top restaurants¡±","<U+B198>no adults only areas in the top restaurantsStayed in December 2017"
"64","Philippines","<U+2022> Family with young children<U+2022> Deluxe King City View Room (3 Persons)<U+2022> Stayed 3 nights","7.5","¡°delay in the delivery of luggages;¡±","<U+B198>delay in the delivery of luggages; no bidet which is important; we are three, I thought the room will have a queen size bed + single bed, but what was given to us was  extra/folding bed;Stayed in December 2017"
"65","Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe King City View Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","10","¡°Once in a lifetime experience but we'll be back worth every dollar! ¡±","<U+B198>The beds in most hotels seem to have very firm mattresses I was hoping at MBS they would be softer. <U+B200>We love Marina Bay Sands!! Very large City View Room Deluxe which was amazing fantastic views on 36th floor! Best shower I've ever had biggest bathroom it was lovely! Stayed in December 2017"
"66","China","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe King Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°Everything was amazing!¡±","<U+B200>Everything was amazing!!!Stayed in December 2017"
"67","New Zealand","<U+2022> Leisure trip<U+2022> Couple<U+2022> The Grand Club King Room<U+2022> Stayed 1 night","7.9","¡°Anniversary Staycation¡±","<U+B198>Suite furniture is slightly outdated. Club lounge is in a seperate tower from where they were staying, which was a little long waiting with elevators. Selection in the Executive Club Lounge was limited.<U+B200>A fantastic stay. This was booked as an anniversary present, so the feedback is based on their comments back to me. Theythoroughly enjoyed the accessibility to all parts of the Marina. The club lounge was enjoyable for cocktails and drinks in the evening and the breakfast was delicious the following morning. Fantastic upgrade to a suit on the 52nd floor. Pool was amazing, withthe view. Check in lounge was fantastic too!Stayed in December 2017"
"68","Israel","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe Twin Garden View Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°Perfect hotel, perfect room, perfect staff, perfect breakfast¡±","<U+B198>The pool is frizzing!When its raining, there is no place dry that you can put your bag and staff there<U+B200>Perfect hotel, perfect room, perfect staff, perfect breakfastStayed in December 2017"
"69","USA","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe Twin Room (3 Persons)<U+2022> Stayed 1 night","7.5","¡°View from the hotel and swimming pool was awesome.¡±","<U+B198>The room was much smaller than other 5-star hotels, and the lobby was too crowded without any proper facilities.<U+B200>View from the hotel and swimming pool was awesome.Stayed in December 2017"
"70","Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Special Offer - Deluxe King Harbor View Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","7.1","¡°The swimming pool is incredible, for the other things is not a 5 stars!¡±","<U+B198>Wait 15 mn for check in for a 5 stars incredible e<U+009F><U+0099><U+0083>Room are nice for a 4 stars not for a 5 stars , quite small, comfortable but not extraordinary compare to the others hotel in Marina bay where I have stay ( conrad, ritz, mandarin....)<U+B200>The swimming poolStayed in December 2017"
"71","Romania","<U+2022> Leisure trip<U+2022> Group<U+2022> Deluxe Twin City View Room <U+2022> Stayed 2 nights<U+2022> Submitted via mobile","10","¡°It was an amazing stay at Marina Bay , it definitely...¡±","<U+B200>It was an amazing stay at Marina Bay , it definitely exceeded our expectation and it was worth ita<U+0080><U+0099>s money. The staff was always friendly and helpfull! I would definitely recommend it and would love to stay there also on my next trip to Singapore!Stayed in December 2017"
"72","United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe King City View Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","10","¡°Amazing hotel had a great experience would recommend¡±","<U+B200>Amazing hotel had a great experience would recommendStayed in December 2017"
"73","United Arab Emirates","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Premier Twin Garden View Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","9.6","¡°Very good¡±","<U+B198>Extra beds was not available<U+B200>The location and the the way property was build beautiful. Swimming pool was excellentStayed in December 2017"
"74","South Korea","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe Twin Room<U+2022> Stayed 2 nights","8.3","¡°view is very good!¡±","<U+B200>view is very good!!Stayed in December 2017"
"75","Romania","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","10","¡°Absolutely fabulous!¡±","<U+B200>Exceptional hotel! If you are traveling to Singapore, no other hotel can match this. Stayed in December 2017"
