"","nationality","tags","score","content","content_detail"
"17","Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> 2 rooms<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","7.1","¡°Near bencoolen station MRT¡±","<U+B207>I will go backStayed in January 2018"
"18","Canada","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> 2 rooms<U+2022> Stayed 1 night<U+2022> Submitted via mobile","6.7","¡°Overall stay was pleasant even¡±","<U+B209>Service of front desk, lack of professionalism and efficiency<U+B207>I like the restaurantStayed in January 2018"
"19","Philippines","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","5.0","¡°...¡±","<U+B209>...<U+B207>...Stayed in December 2017"
"20","Brunei Darussalam","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","7.1","¡°Satisfactory¡±","<U+B209>Toilet and lighting<U+B207>LocationStayed in December 2017"
"21","India","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 6 nights<U+2022> Submitted via mobile","5.8","¡°Not a good choice for the price ¡±","<U+B209>Very small rooms.  Every single item even the ear buds were given  on request. In room Coffee and tea is of no use. <U+B207>CleanStayed in December 2017"
"22","Brunei Darussalam","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","5.8","¡°It was okay¡±","<U+B209>Transportation not easily available as told<U+B207>NilStayed in January 2018"
"23","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 5 nights<U+2022> Submitted via mobile","9.6","¡°Have stayed at this Hotel many times always enjoyed our stay.¡±","<U+B209>Nothing really<U+B207>Great location, close to rail and bus. Breakfast was great.Stayed in December 2017"
"24","Philippines","<U+2022> Family with young children<U+2022> Special Offer - Twin Room with Extra Benefits<U+2022> Stayed 5 nights<U+2022> Submitted via mobile","7.5","¡°Worth recommending.¡±","<U+B207>Location. Good housekeeping staff.Stayed in December 2017"
"25","Singapore","<U+2022> Leisure trip<U+2022> Group<U+2022> Special Offer - Double Room with Extra Benefits<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.2","¡°Very convenient location for shopping and food.¡±","<U+B207>Very convenient location for shopping and food.Stayed in December 2017"
"26","Thailand","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","9.2","¡°We would like to stay here again.¡±","<U+B209>The staff did not clean the toilet well. But it was bearable.<U+B207>The location is great. It is near MRT. There is also a huge food center within a walking distance. There is also some space in the room we stayed in.Stayed in December 2017"
"27","Malaysia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","7.1","¡°Was a pleasant stay at ibis¡±","<U+B209>Breakfast was not included in the room rate<U+B207>The bed was comfy,Pillows too...Stayed in December 2017"
"28","Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","7.5","¡°Good Value of the money we paid¡±","<U+B207>The location is very close to local delicacies and local shopsStayed in December 2017"
"29","Brunei Darussalam","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","10","¡°Will come back in the future¡±","<U+B207>Staffs are friendly and the housekeepings are excellent , we asked for the bed sheet to be replaced due to our son's vomited on it passed 12++am in the morning, they were there to assist us.Stayed in December 2017"
"30","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 9 nights<U+2022> Submitted via mobile","9.6","¡°Pleasant stay overall, will definitely recommend to others.¡±","<U+B209>Would love to have more bamboo bikes.<U+B207>Clean, centralised area, very helpful staff, good food.Stayed in December 2017"
"31","Singapore","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 1 night","7.5","¡°Table & Smoking room¡±","<U+B207>Table & Smoking roomStayed in December 2017"
"32","France","<U+2022> Leisure trip<U+2022> Group<U+2022> 2 rooms<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.5","¡°Decent hotel at an okay price¡±","<U+B209>Rooms are maybe a little bit smallProbably not the best value in Singapore<U+B207>A very wide breakfast selectionComfortable beds, clean roomDecent locationStayed in December 2017"
"33","Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","5.8","¡°The pillows are soft¡±","<U+B209>The air conditioner very noisy.<U+B207>The pillows are softStayed in December 2017"
"34","Philippines","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°I requested for late checkout and I was only given up to...¡±","<U+B209>I requested for late checkout and I was only given up to 1:00pm so I decided for early checkout and leave our luggage with concierge.Stayed in December 2017"
"35","Malaysia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 5 nights","7.5","¡°Keep up the good image. Ibis On Bencoolen¡±","<U+B209>Not applicable<U+B207>Hotel location is good and accessibility to all the needs, especially waliking distanceto MRT and Bugis Junction Shopping . Ibis staff are friendly and cooperative. Goodimage.Stayed in December 2017"
"36","Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","10","¡°It was a great at¡±","<U+B209>The room too compact<U+B207>The room is cleanStayed in December 2017"
"37","Philippines","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","10","¡°Excellent¡±","<U+B209>None.<U+B207>The buffet breakfast. The friendly and accommodating crews.Very nice and peaceful place.Stayed in December 2017"
"38","Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Special Offer - Twin Room with Extra Benefits<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","8.8","¡°Good breakfast, friendly staff.¡±","<U+B209>...<U+B207>Good breakfast, friendly staff..Stayed in December 2017"
"39","Malaysia","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","6.3","¡°The cleanliness of the bedsheet, i had a skin rash.¡±","<U+B209>The cleanliness of the bedsheet, i had a skin rash. Hope the bedsheet could be changed before check in.Stayed in December 2017"
"40","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.9","¡°I will visit again¡±","<U+B207>Love the comfort of the bedStayed in December 2017"
"41","Indonesia","<U+2022> Business trip<U+2022> Solo traveller<U+2022> Standard Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.5","¡°as expected¡±","<U+B207>economicalStayed in December 2017"
"42","New Zealand","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Special Offer - Double Room with Extra Benefits<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","10","¡°If was a wonderful stay and we enjoy it as a family.¡±","<U+B209>Im happy with everything.<U+B207>I like the place, the warmth inside and the friendly and helpful staff from the reception to the cleaning staff on the floor. Well done guys.Stayed in December 2017"
"43","Japan","<U+2022> Leisure trip<U+2022> Group<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","7.5","¡°Great location¡±","<U+B207>Only couple minutes walk from Bencoolen MRT station, Starbucks and Fold Republic. Very convenient and clean hotel! I particularly like how the showers have walls so the water does not leak to the toilet area.Stayed in December 2017"
"44","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 5 nights<U+2022> Submitted via mobile","7.9","¡°m again planning my next stay at ibis..its just a matter of date n time to be confirm..¡±","<U+B209>the room was slightly smaller that expected as ive stayed in various IBIS at different state n location..bed was a bit too high..i actually request to remove the extra padding but i was stitched together with the bed..so unable to it..<U+B207>location was excellent..easy access to many location that we could just walk over..the laundry room was a great help..staffs were friendlyStayed in December 2017"
"45","Malaysia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","9.6","¡°Great location¡±","<U+B209>N/a<U+B207>Very accessible via public transportation. The hotel is also located in a vibrant area. Everything is within walking distance.Stayed in December 2017"
"46","Papua New Guinea","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","5.4","¡°Disappointed by the air freshener in the rooms¡±","<U+B209>1.). Rooms sprayed with toxic air fresheners.  Please do a research first on the toxicity of air fresheners and ita<U+0080><U+0099>s negative effects on peoplea<U+0080><U+0099>s health.  Also, the hotel should ask permission first from the guests before spraying the rooms.  Although, my request to transfer into another room was granted, the 3 hours I endured hoping the smell would go away and the inconvenience caused by transferring my belongings at 2 am was really too much of a hastle.2.) The lady at the reception/check in counter.  She comes off as unfriendly and unaccommodating.  She needs to be trained more in service-orriented industries.3.)  Uncomfortably too soft pillowsThe above comments were based on the comparison made with the 2 other hotels we stayed at during our 1 week trip overseas.<U+B207>The 2 staffs (old guy and young lady) at the taxi stand were friendly, extremely helpful, and cheerful.  They made our stay comfortable and special.Stayed in December 2017"
"47","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","10","¡°Worth the dollar and everything was there as promised¡±","<U+B209>None<U+B207>ExcellentStayed in December 2017"
"48","USA","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 4 nights","7.1","¡°Good¡±","<U+B209>The size of the rooms, the TV, the closet and the refrigerator are very small. The rooms are small for two adults.<U+B207>The service was excellent.  The Hotel is within walking distance to everything.Stayed in December 2017"
"49","Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","9.2","¡°The room is clean and comfy, surprisingly really great...¡±","<U+B209>Hope there'll be complimentary sandals for guests<U+B207>The room is clean and comfy, surprisingly really great neighborhoodStayed in December 2017"
"50","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","8.3","¡°Staff were excellent. Offered free loan of umbrellas and MRT cards¡±","<U+B209>A bit far from main tourist attractions<U+B207>Close to public transportStayed in December 2017"
"51","Vietnam","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","6.3","¡°must pay all money when check in¡±","<U+B209>must pay all money when check inStayed in December 2017"
"52","Sri Lanka","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","7.5","¡°Good facilities.¡±","<U+B207>Good facilities. Breakfast wad great. Easy bus connection to city centre  right in front of the hotel.Stayed in December 2017"
"53","USA","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","6.7","¡°Decent value, but wish we paid $20 SGD more per night for a nicer hotel.¡±","<U+B209>Extremely small for our party of 2, especially bed and bathroom. Lacked common amenities like lotion, hand towels, water bottles, water in lobby.<U+B207>We liked the location as it was 2-3 blocks from the new Bencoolen St MRT.Stayed in December 2017"
"54","Australia","<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.1","¡°Good¡±","<U+B209>Nil<U+B207>ConvenienceStayed in December 2017"
"55","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","9.6","¡°Location and price¡±","<U+B209>Breakfast low quality <U+B207>Location and priceStayed in December 2017"
"56","United Kingdom","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","9.6","¡°Couple and traveling student review¡±","<U+B209>Can't think of anything<U+B207>Location, clean comfortable room, good shower, rooms quiet, luggage store on checkout.Stayed in December 2017"
"57","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","7.5","¡°Overall the hotel was good, clean, and the staffs were friendly¡±","<U+B209>-<U+B207>The food that served on breakfast time were delicious, the staffs were friendly.Stayed in November 2017"
"58","Australia","<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 3 nights","7.5","¡°The shower area is too small.¡±","<U+B209>The shower area is too small.Stayed in November 2017"
"59","Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","6.3","¡°Despite all the unpleasant experiences I had during my...¡±","<U+B209>Hotel room facilities that dont work well<U+B207>Despite all the unpleasant experiences I had during my second stay in this hotel like clog sink, continous beeping sound frm our room telephone and noisy nextdoor room who argued up to 230am and other noisy sounds during our stay, the manager on duty and staff are being helpful to settle the issue.Stayed in December 2017"
"60","Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","8.3","¡°Nice Hotel, good location, with helpfull staff. Specially Mr Simon, helpfull front office staff. ¡±","<U+B209>I order double bed for two room,  the size of each bed little bit too small. I think it's better to change it with more wider size.  And also its nice if you add shower spray at the toilet. e<U+009F><U+0098><U+008A><U+B207>Nice, clean, good location, helpfull staffStayed in December 2017"
"61","Malaysia","<U+2022> Business trip<U+2022> Solo traveller<U+2022> Standard Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.5","¡°Short, hassle free and on time completion of tasks planned¡±","<U+B209>Hawker food at a decent price. Just like eating in Penang home<U+B207>Walking distance to MRT station. Convenient for hawker food.Stayed in December 2017"
"62","Netherlands","<U+2022> Leisure trip<U+2022> Group<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","10","¡°We would not hesitate to stay again or recommend to others¡±","<U+B207>The staff were especially friendly and helpfulStayed in December 2017"
"63","Oman","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Twin Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","7.1","¡°Service of staff¡±","<U+B209>Not to mentioned<U+B207>Service of staffStayed in December 2017"
"64","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 1 night","6.3","¡°It was ok¡±","<U+B209>After leaving the shiny lobby and going up in the lift, you step into what might be another, cheaper and more run-down hotel. The room was fine, although the pillows were a little fat and the aircon was noisy.<U+B207>It was an ok room in a hotel whose lobby promised a little more. I liked that they let use leave the bags there so we could look around Singapore before an evening flight, and the staff were generally helpful.Stayed in December 2017"
"65","United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","10","¡°Excellent, convenient  for  me to  get about¡±","<U+B209>The bed was too highStayed in December 2017"
"66","Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> 2 rooms<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","7.9","¡°Will come back and stay¡±","<U+B207>Just value for moneyStayed in December 2017"
"67","Brunei Darussalam","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 1 night","8.3","¡°great place to stay, Team should continue their good work¡±","<U+B209>coffee machine was sometimes needing a refill but staff rushed to refill when told<U+B207>the staff, always smiling, ever-willing to help, no one was unfriendly or grumpy. the breakfast items were being refilled even at closing timeStayed in December 2017"
"68","Brunei Darussalam","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 3 nights","8.3","¡°it will remain a good choice to stay provided the Team maintains or exceeds their current performanc¡±","<U+B209>not enough space for breakfast<U+B207>The Ibis Bencoolen is an excellent choice for anyone, hard to find a flawStayed in December 2017"
"69","India","<U+2022> Business trip<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.5","¡°Location¡±","<U+B209>Lack of vegetarian items in menu<U+B207>LocationStayed in December 2017"
"70","India","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Twin Room<U+2022> Stayed 1 night","6.7","¡°cramped¡±","<U+B209>more storage space- specially for suitcases, glasses for water, shoe shine kit, variety in tea, more creamers, side tables too small maybe u can add a few shelves near the bedside. u can add laundry rate list,<U+B207>good breakfast- malaysian manager very pleasant, nice pillows, early checkinStayed in December 2017"
"71","Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> 2 rooms<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","8.8","¡°Good value.¡±","<U+B209>Check-in slow. Staff not very efficient. Kept repeating herself, ie telling me the number  and type of rooms I have booked. Reapeated 3 times! So unnecessary.<U+B207>Good value.  Great comfortable bed. Hood shower.Stayed in December 2017"
"72","India","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","7.9","¡°Location is very good has very good connection with every...¡±","<U+B207>Location is very good has very good connection with every part of the city.Stayed in December 2017"
"73","India","<U+2022> Business trip<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","7.9","¡°Decent business hotel, centrally located. Wona<U+0080><U+0099>t suggest for family with kids¡±","<U+B209>Breakfast buffet  is chaotic and monotonous. Can be much improved.<U+B207>Good clean rooms though quite small. Good free wifi, easy connectivity to all local attractions. Bugis and Little India are really walkable. Dinner was tastefully cooked. There is 7-11 shop right next door for all your daily needs.Stayed in December 2017"
"74","Papua New Guinea","<U+2022> Business trip<U+2022> Group<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","10","¡°Location was excellent. Good location for shopping¡±","<U+B209>My stay was short.<U+B207>The reception desk service was exellent.Stayed in December 2017"
"75","Papua New Guinea","<U+2022> Group<U+2022> Special Offer - Double Room with Extra Benefits<U+2022> Stayed 1 night","9.2","¡°Nice stay although only one night.¡±","<U+B209>Everything ok, except if there was a complementary bottle of water or two would be appreciated.<U+B207>Bed and everything was ok for me. Location was great and central to almost everything like shopping. Staff were very friendly and helpful.Stayed in December 2017"
"76","Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 1 night","9.6","¡°best of location at the center of Singapore¡±","<U+B209>nope<U+B207>great staff at the time of check in, very fast on serving the customerStayed in December 2017"
"77","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","5.4","¡°Hassle free check in and good choice of breakfast.¡±","<U+B207>Good location close to shopping centres and bugis street.Stayed in December 2017"
"78","Singapore","<U+2022> Leisure trip<U+2022> Group<U+2022> Standard Double Room<U+2022> Stayed 1 night","8.3","¡°Overall we have a pleasant stay, will come back again, gotten it at a good price.¡±","<U+B209>Once 12pm the rooms cards were deactivated. Friends could not access to their rooms. Need to ask for extension. Fortunately they were all in my room. Otherwise we would be locked out. Thankfully the staff were helpful.<U+B207>Staff were very friendly and helpful. Willing to extend our check out time (1 room out of 3) to 2.00 pm instead of 12pm.Stayed in December 2017"
"79","India","<U+2022> Business trip<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","10","¡°Superb¡±","<U+B209>You should give a local mobile phone for use<U+B207>ExcellentStayed in December 2017"
"80","United Kingdom","<U+2022> Leisure trip<U+2022> Group<U+2022> Standard Twin Room<U+2022> Stayed 4 nights","7.1","¡°Excellent location within short walking distance of 2 MRT...¡±","<U+B207>Excellent location within short walking distance of 2 MRT stations, the National Museum, National Library.  Just behind the hotel is a foodie's selection of local food.  Across from the main entrance is the legendary Fatty's restaurant - OUTSTANDING food.  The area behind the hotel is a local scene - a good peek into ordinary lives of Singaporeans - without the glitz and glamour of Orchard Road.  I would stay here again.Stayed in December 2017"
"81","United Kingdom","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Standard Twin Room<U+2022> Stayed 2 nights","9.2","¡°nice hotel to stay in singapore¡±","<U+B209>hot water ran out sometimes<U+B207>the breakfast was excellent, nice selection of high quality teaStayed in December 2017"
"82","India","<U+2022> Business trip<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","10","¡° Cleanliness, hygiene, buffet breakfast,  rooms with windows¡±","<U+B207> Cleanliness, hygiene, buffet breakfast,  rooms with windowsStayed in December 2017"
"83","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Special Offer - Double Room with Extra Benefits<U+2022> Stayed 1 night<U+2022> Submitted via mobile","8.8","¡°Great location, friendly staff, comfortable bed, hospitality...¡±","<U+B209>Nothing.<U+B207>Great location, friendly staff, comfortable bed, hospitality room to freshen up before our late night flight after checkout.Stayed in December 2017"
"84","Sweden","<U+2022> Leisure trip<U+2022> Couple<U+2022> Special Offer - Double Room with Extra Benefits<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.1","¡°Nice and easy stay, central location, hint: take the tube...¡±","<U+B207>Nice and easy stay, central location, hint: take the tube from and to the airport.Stayed in December 2017"
"85","Bangladesh","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 6 nights","6.7","¡°OK but leaves much to be desired.¡±","<U+B209>The room facility was bare minimum.  No storage for clothes etc. for longer stay.  TV could not be smaller!?<U+B207>Near MRT and my destinationsStayed in December 2017"
"86","Malaysia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 2 nights","6.7","¡°Good location and comfortable stay, but you must find out how much is the net room rate .¡±","<U+B207>breakfast is good. It would have been perfect if they quote their net room rate rather than SDR---++. It is only fair to consumerStayed in November 2017"
"87","Brunei Darussalam","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°This hotel continues to be our choice when visiting Singapore.¡±","<U+B209>No complaints..<U+B207>The counter staff helped a lot by allowing an early check-in, and the housekeeping staff went above and beyond expectations when the room was made up even with our heavy luggage left on the bed (we forgot to put the ""Do not disturb"" sign on the door when we went out. To the housekeeping staff who took care of Room 1416 on 12th december 2017, Thank You!Stayed in December 2017"
