"","X","nationality","tags","score","content","content_detail"
"18",18,"Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Orchid Club Deluxe Double Room<U+2022> Stayed 5 nights",9.2,"¡°Loved it - the staff were helpful - service was exceptional,  location -was  close city and airport¡±","bathroom and carpet are old and need updating, the mini bar fridge  was an issue does not cool water enough the buffet was just ordinary - same every day and not enough variety Room was very clean, spacious and comfortable, easy walk to Suntec City , happening street of Haji Lane and Bugis Staff were friendly and helpfulStayed in January "
"19",19,"Singapore","<U+2022> Leisure trip<U+2022> People with friends<U+2022> Deluxe Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",9.6,"¡°Newly refurbished so everything was new and clean!¡±"," Newly refurbished so everything was new and clean!Stayed in January "
"20",20,"Singapore","<U+2022> Family with young children<U+2022> Orchid Club Premier Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",10,"¡°Food very good, , but no halal¡±","Very good staff Near the shopping areaStayed in January "
"21",21,"Indonesia","<U+2022> Family with young children<U+2022> Superior Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",10,"¡°Overall we like to stay at Park royal at the beach road ¡±","Out of the window,  we see only the buildings Clean and near to our meals store Stayed in December "
"22",22,"United Kingdom","<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 2 nights",9.6,"¡°Fantastic room, great breakfast, huge pool.¡±","Tacky Christmas music on repeat and way too loud in the breakfast room Very irritating Not everyone likes to have Christmas music blasted in the morning Also, please be aware that they are refurbishing the hotel, so it's noisy between :am until about : Not good if you are jetlagged Fantastic room, great breakfast, huge pool We were allowed to check in early and were able to use the pool until well after check-out timeStayed in December "
"23",23,"Sri Lanka","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",5,"¡°Other than the staff at reception everyone else and the facilities was good.¡±","The flexibility of the staff at reception We requested for a late check out with payment and we're refusedand the hotel was not fully booked at the time Not considerate at all especially when travelling with family The locationStayed in December "
"24",24,"Germany","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Deluxe Double or Twin Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",10,"¡°Amazing hotel with everything you need.¡±"," Amazing hotel with everything you need The breakfast was huge and the swimmingpool and the spa are greatStayed in December "
"25",25,"Malaysia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Room<U+2022> Stayed 2 nights",7.9,"¡°Great location, affordable price, friendly staff and definitely will come back again.¡±","The renovation is ongoing and the room next door is disturbing my baby afternoon nap The hotel guarantee the lowest noise but still it is hard to comfort my baby to sleep Main door access is a challenge if you have stroller or baggage The hotel staff is friendly but it is inconvenienced Great location and easy access to many shopping and restaurants The hotel is near to Bugis and Arab street and also a walking distance to Suntec City There are ample of parking spaces and very convenient for me and my familyStayed in December "
"26",26,"USA","<U+2022> Leisure trip<U+2022> Group<U+2022> Superior Room<U+2022> Stayed 2 nights",10,"¡°Lovely staff!¡±"," Lovely staff!Stayed in December "
"27",27,"Malaysia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",7.9,"¡°Parking area¡±","The bed too high Parking areaStayed in December "
"28",28,"France","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Orchid Club Premier Double or Twin Room<U+2022> Stayed 5 nights<U+2022> Submitted via mobile",10,"¡°Perfect, if I ever come back to Singapore I would book this hotel again¡±"," Room very clean and confortable staff extremely kind and helpful - a special mention for Allen and Lynn at the Orchid lounge who were fantastic Even after check out we were allowed acces to the pool, lounge and offered somewhere to changeStayed in December "
"29",29,"Singapore","<U+2022> Leisure trip<U+2022> Group<U+2022> Orchid Club Premier Double or Twin Room<U+2022> Stayed 3 nights",10,"¡°Good value for orchid club roms¡±"," Super comfy beds! Great location! Great breakfast spread and hotel amenitiesStayed in December "
"30",30,"Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",8.3,"¡°I will be back¡±","The hot water shower seem not able to maintain the correct temperature; Hotel undergoing some renovation works with knocking sounds from upstairs but somehow we were not disturbed by it On-site parking with complementary coupon from the concierge; newly fitted room with huge comfortable bedStayed in December "
"31",31,"Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Orchid Club Premier Double or Twin Room<U+2022> Stayed 1 night",7.1,"¡°excellent¡±","NA NAStayed in December "
"32",32,"Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",10,"¡°Comfortable Clean Crisp Cozy¡±","Air-con was a bit temperamental  Haha Not really cold The staffs were great, friendly and accommodating especially Soo who checked us in The bed was comfy n clean  Housekeeping was efficientStayed in December "
"33",33,"Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe Double or Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",7.1,"¡°Property was clean and staff were polite¡±","Price very expensive for meals Property was clean and staff were politeStayed in December "
"34",34,"United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",10,"¡°Brilliant¡±","The food  Not great quality, overpriced The swimming poolStayed in December "
"35",35,"USA","<U+2022> Leisure trip<U+2022> Group<U+2022> Superior Room<U+2022> Stayed 1 night",10,"¡°Great rest for a weary sailor.¡±","Broken minifridge :( The room I was given was great, the only thing that was a downer was that the minifridge didn't work so my drinks that I purchased at the - a short walk away weren't cold when I returned to my room  The hotel sits right outside of the Muslim quarter with a massive Mosque theTextile Market  The Bugis mall was about a mile walk to and from the hotel so it was great to save money on transportation by walking back and forth and there were lots of sales once arriving at the mall  The pool was great, it was slightly chilly, but when the humidity and heat of the climate starts to increase it feels great  The bar on the ground level was nice and there was a dance competition to Latin music  I would definitely return to this property in the future as it is relatively isolated from the downtown area, which isn't hard to reach by the SMRT or a simple Uber rideStayed in December "
"36",36,"Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Orchid Club Premier Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",10,"¡°It is accessible to everywhere as it is near the mrt and the...¡±","Staff with a little bit more well verse on handling halal food  Donat have to be compartmentalize/divide the area A simple knowledge of not mixing the utensil is good enough as when I go to the lounge area , wanted to try the chicken and beef was told halal  The staff use the same knife that he used to cut ham  Other than that the place is fantastic It is accessible to everywhere as it is near the mrt and the bus routes along the hotel goes to almost all the linking locations to go to all locations  All halal food just across the road And it very quiet and serene even thou its just beside the heart of the city Stayed in December "
"37",37,"Singapore","<U+2022> Couple<U+2022> Superior Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",10,"¡°That wagyu burger tho¡±"," I loved the complimentary sweet treats that were given to us to celebrate Christmas! The king size bed in our executive room (we got a free upgrade because of an epic backstory) was extra big and fluffy, and the  hour room service food was reeeeally good (that wagyu beef burger really satisfied the am hunger pangs) We loved the location of the hotel near haji lane and our only regret was not taking a swim at the rooftop pool with an amazing view At the right price, we would definitely come back!Stayed in December "
"38",38,"United Kingdom","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",7.5,"¡°It was clean and well located¡±","Building work meant noise during the day but in fairness this was made clear to us befire It was clean and well locatedStayed in December "
"39",39,"USA","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",7.9,"¡°It is our first time visiting Singapore, the stay near Arab Street was wonderful.¡±","The construction noise is very noticeable and could affect day rest The manager tried hard to compensate us for the inconvenience However, it definitely forced us to leave the hotel room before am and not return till late evening The pool has a great view and the pool water temperature is perfect The staff and manager are very helpfulStayed in December "
"40",40,"Australia","<U+2022> Family with young children<U+2022> Superior Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",10,"¡°Pleasant and feels like home¡±","the drilling above , was told its under renovation daily room service and supercwelcoming  staffStayed in December "
"41",41,"Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",10,"¡°Location, cleanliness & style¡±","View from room wasn't great Location, cleanliness & styleStayed in December "
"42",42,"Thailand","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Orchid Club Deluxe Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",9.6,"¡°Very friendly, welcoming and helpful staff.¡±"," Very friendly, welcoming and helpful staff Lovely view Good range of TV channels Really nice toiletries supplied Very comfortable and clean Close to Kampong glam area with countless interesting shops and places to eat and drink Huge pool and good steam roomStayed in December "
"43",43,"Malaysia","<U+2022> Leisure trip<U+2022> Group<U+2022> Superior Double or Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",9.2,"¡°Awesome¡±","Bed sheets are not clean, can see bloodstains in the corner Staff's service is friendlyStayed in December "
"44",44,"New Zealand","<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",6.3,"¡°Disappointed¡±","Strong chemical smell everywhere acrid couldn't open Windows to get fresh air  noisy workman above staff did give us complimentary bottle of wine as compensations  Pool bar closed really earlyRequest for some cream  with Pavlova a  firm no   Staff talking amongst selves had to wave or go up if you wanted a drink or dessert Pool was lovelyStayed in December "
"45",45,"France","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",9.2,"¡°Short but sweet¡±"," When visiting Singapore in the past we invariably stay closer to the center around Orchard Road This short stopover visit we decided to venture a little further away We were pleasantly surprised Beach road was in reasonable walking distance to several shopping centers and abundant restaurants - from Turkish and Lebanese on Arab Street opposite the hotel to various Chinese restaurants only a few minutes walk away We were not there long enough to really explore the area but will next time The hotel room was spacious and comfortable,bathroom clean and excellent shower with all amenities Fridge,safe,ironing,tea/coffee/torch!,hair dryer and huge flatscreen TV we did not eat there as wanted to experience the local dishes (I was brought up in Singapore) All in all highly recommend / minutes to Changi AirportStayed in December "
"46",46,"Austria","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 3 nights",9.2,"¡°breakfast was extra ordinary;¡±","Laundry was very expensive; breakfast was extra ordinary; they provide a so called ""Handy service"" which is a cell phone for calls, data access and very useful apps;Stayed in December "
"47",47,"United Kingdom","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Premier Double or Twin Room (3Adults)<U+2022> Stayed 1 night<U+2022> Submitted via mobile",8.3,"¡°Fantastic beds.¡±"," Fantastic beds Great locationStayed in December "
"48",48,"Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 3 nights",10,"¡°great location and facilities, very friendly staff, and the hotel provides a local smartphone too!¡±"," Having the ""handy phone to take out was most helpful  its a novel idea (atleast seemed to us coming from australia) and very useful to newcomers in the cityStayed in December "
"49",49,"United Kingdom","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Superior Double or Twin Room<U+2022> Stayed 4 nights",8.8,"¡°Bed was comfortable.¡±","Water pressure in shower was poor Bed was comfortable Swimming pool was brilliant Breakfast selection was great, staff were super attentive Hotel located about a  minute walk from Bugis and Nicoll Highway MRT stations Walking to the Marina and Raffles only took about  minutesStayed in December "
"50",50,"Australia","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Superior Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",8.8,"¡°Had a great time¡±","Better breakfast Staff,pool and gym,location, handy phone,roomStayed in December "
"51",51,"Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",7.5,"¡°Relaxing and welcoming. Service is excellent!¡±","Hotel is a bit dated, need a good refresh to compete with the rest of your competitions Location, pool, and free internet Choices of breakfast meal is vastStayed in December "
"52",52,"India","<U+2022> Business trip<U+2022> Solo traveller<U+2022> Superior Room<U+2022> Stayed 1 night",5,"¡°Will never visit¡±","Reception staff too rude cleanlinessStayed in December "
"53",53,"Singapore","<U+2022> Leisure trip<U+2022> People with friends<U+2022> Superior Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",7.5,"¡°The renovation works was too noisy.¡±","The renovation works was too noisy As much as it was between am to pm, it was disturbing for an afternoon nap Stayed in December "
"54",54,"Portugal","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night",8.3,"¡°Very nice room
¡±","Walkind distance to the metro, but a little dificult with the suits cases, so we went by taxi Very nice roomGood breakfastNear Arabe villageNear restaurants and ShopsAt checkout we had a late fly and we left the suits cases at the hotelSmart phone availableStayed in December "
"55",55,"Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",10,"¡°The room was just the right size for 2 people.¡±","The temperature of the water for shower keeps turning hot and cold, fluctuating temperature And the water was a bit small The room was just the right size for  people Comfortable and clean Stayed in December "
"56",56,"Hong Kong","<U+2022> Leisure trip<U+2022> Group<U+2022> Superior Double or Twin Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",8.3,"¡°Overall, ita<U+0080><U+0099>s a cozy stay and the staff are pleasant. They are polite and helpful. I enjoy the stay.¡±","The shower stand is a bit old which will be loosen if move The room is spacious and so as the bedStayed in December "
"57",57,"Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 2 nights",10,"¡°Great hotel in a really good location- lots of GREAT food...¡±"," Great hotel in a really good location- lots of GREAT food and little shops within easy walking distance The pool was lovely especially after travelling around chilly Japan for  weeks Quick taxi ride to Gardens By The Bay (<$)Room was large (especially compared to the Japanese rooms we stayed in), clean and well appointedStayed in December "
"58",58,"Belgium","<U+2022> Business trip<U+2022> Solo traveller<U+2022> Superior Double or Twin Room<U+2022> Stayed 3 nights",10,"¡°Great value for money, comfortable, perfect for a business stay.¡±","room service menu could be improved Morning coffee is poorStayed in December "
"59",59,"Singapore","<U+2022> Business trip<U+2022> Couple<U+2022> Superior Room<U+2022> Stayed 1 night",4.6,"¡°The hotel was going through renovation and you could hear...¡±","The hotel was going through renovation and you could hear knocking on walls in the afternoonStayed in December "
"60",60,"Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> 2 rooms<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",8.5,"¡°Fantastic¡±","It would have been good to be able to have pay per view movies Staff were very helpful Helped us with transport and where to by snacks for the kids and breakfast without spending too muchThe pool area and gym were excellentStayed in December "
"61",61,"Malaysia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Room<U+2022> Stayed 4 nights",7.5,"¡°comfortable stay, good service, need to walk to MRT¡±","bathroom to small and there is no bath tub You do have to walk a fair distance to MRT station It is ok if you don't mind walking minutes to nearest MRT station which is Bugis station If you plan to travelling by taxi most the time this property is excellent It would be great if hotel can have a children play area empty space by the pool large comfortable bed, relatively spacious room staff was very friendly, breakfast choice was good location is fair as it is -minutes walk to suntec city and bugis junction directly opposite there's a tons of cafe and restaurants The gym, spa and pool area is goodStayed in December "
"62",62,"Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 3 nights",9.6,"¡°Very refreshing and enjoyable.¡±","The security deposit was much higher than I would have expected, and we still haven't received it back  days after checking out The PARKROYAL was convenient, comfortable, cosy, and caring The staff were friendly, helpful and efficient The rooms are well appointed and very pleasant The hotel provided a baby's crib for our baby and had it there in minutes The location is great for access to all the main attractions and business centresStayed in December "
"63",63,"Singapore","<U+2022> Solo traveller<U+2022> Superior Room<U+2022> Stayed 1 night",7.5,"¡°good¡±","nothing all goodStayed in December "
"64",64,"United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Orchid Club Deluxe Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",9.2,"¡°Good¡±","Nothing Very good visitStayed in December "
"65",65,"Russia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Orchid Club Deluxe Double Room<U+2022> Stayed 3 nights",9.6,"¡°Amazing time in the hotel¡±","Location is quite far away from the centre, but pool and hotel itself is definitely worth it Our stay was amazing All hotel team is always very welcoming and kind We had Club deluxe room and this is definitely something worth it We highly recommend this propertyStayed in November "
"66",66,"South Korea","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Deluxe Double or Twin Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",10,"¡°Competitable price on quality. Comfortable bed is better than Marina bay sands hotel. Best thing is ¡±","WHAT !!!!! Gym and swimming poolStayed in December "
"67",67,"Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Orchid Club Deluxe Double Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",4.6,"¡°Disappointed that both the hotel and booking.com did not make aware of the extensive renovations¡±","Extensive renovation work that prevented us enjoying the facilities we paid forThe pool area needs updating Staff were helpful and friendlyGood selection of breakfast choicesStayed in November "
"68",68,"United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",10,"¡°Everything.¡±","Norhing EverythingStayed in December "
"69",69,"United Kingdom","<U+2022> Leisure trip<U+2022> People with friends<U+2022> Superior Double or Twin Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",9.2,"¡°Lovely stay at Park Royal Beach Road¡±","Nothing Spotlessly clean, excellent staffStayed in December "
"70",70,"Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",6.5,"¡°Renovations made my stay awful¡±","Renovations going on during stay So noisy I had to leave my roomStayed in November "
"71",71,"Portugal","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",7.1,"¡°The staff¡±","The da ilities The staffStayed in December "
"72",72,"Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 3 nights",9.2,"¡°Comfortable convenience in Singapore¡±","Nothing to complain about! (Other than the fact that we didn't stay long enough to do/try everything the hotel had to offer!) The only thing is that being a chain, it's a generic hotel that could be anywhere in the world Fantastic location to everything we wanted to see and do, and easy walking distance to some great eating and drinking places Loved the Handy smart phone in the room that we could take around with us so we always had internet access - handy indeed! Friendly staff with a concierge team who went to great effort to ensure we had what we neededStayed in December "
"73",73,"United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",10,"¡°An amazing hotel at a great value!¡±","We loved it All! Amazing facility and staff! Such a nice and practical personal touch - they provide you with a mobile phone that has free internet and local calls during your stay! Everyone was very helpful! Breakfast was delicious!Stayed in December "
"74",74,"Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",9.6,"¡°Great hotel but noise is an issue.¡±","The resterant was unable to feed us I am gluten free but this is the first time that nothing was available The staff, room and facilities were great The building noise was so bad that we had to leave the room for most of the day We stayed three days and would not have done so if we had been aware of the jack hammeringStayed in December "
"75",75,"South Korea","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",10,"¡°Nice to stay¡±"," Nice location and very clean room The staffs are so nice as wellStayed in December "
"76",76,"United Kingdom","<U+2022> Leisure trip<U+2022> Group<U+2022> Superior Double or Twin Room<U+2022> Stayed 3 nights",7.1,"¡°Nice hotel just a short walk from a MRT station.¡±","Like all Singapore accommodation, it is very pricey Nice size rooms which were always kept cleanOpen air pool with nice views to Marina BayStayed in November "
"77",77,"United Arab Emirates","<U+2022> Solo traveller<U+2022> Superior Double or Twin Room<U+2022> Stayed 3 nights",7.5,"¡°there is some maintainace going on and its noisy in the day...¡±","there is some maintainace going on and its noisy in the day time this was not mentioned on booking com and we were made aware only after reaching there ful day drilling noise For early checkin in too there was issue  they upgraded us to club level but the cost was more than a full days stay even though we needed room only for  extra hours!Stayed in December "
"78",78,"Malaysia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Room<U+2022> Stayed 3 nights",7.5,"¡°pleasant¡±","no baby tubs though, although baby chairs and cot was availableStayed in December "
"79",79,"Hong Kong","<U+2022> Business trip<U+2022> Solo traveller<U+2022> Superior Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",8.8,"¡°Convenience location with good price and quality¡±"," Big and clean roomSwimming pool with good view and big gym roomStayed in December "
"80",80,"Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe Double or Twin Room<U+2022> Stayed 1 night",8.3,"¡°Great spot in the city¡±","Small room The bed was very comfortableStayed in November "
"81",81,"Malaysia","<U+2022> Leisure trip<U+2022> Group<U+2022> Superior Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",10,"¡°A great place!¡±"," Love the location of the hotel Super convenient for everything Near the MRT Food outlets are plenty nearby The streets across is so alive at night Super friendly staffs and always very helpful in assisting Great pool with awesome view of the Singapore Flyer and also the moon Really love my stay and will not hesitate to stay here again whenever I am in SingaporeStayed in December "
"82",82,"New Zealand","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",9.4,"¡°Great stay in singapore¡±","Shower pressure was low and the temperature nob changed a bit, no opening windows in the room Friendly and helpful staff, very good breakfast, comfy big bed, min walk to nicoll highway train stationStayed in December "
