"","X","nationality","tags","score","content","content_detail"
"11",11,"India","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 5 nights",10,"¡°This hotel is at strategic location.¡±"," This hotel is at strategic location Neighboring area offers many option for food and shopping Key attractions are at convenient distance from hotelStayed in January "
"12",12,"South Africa","<U+2022> Leisure trip<U+2022> People with friends<U+2022> Triple Room<U+2022> Stayed 6 nights<U+2022> Submitted via mobile",9.2,"¡°Perfect triple room¡±","Nothing  Excellent and clean  min walking distance to MRT Nicol highway station as well as a great food hawker center opposite it! Stayed in January "
"13",13,"India","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Twin Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",9.6,"¡°Good hotel but small rooms ¡±","Small rooms , expensive breakfast  Nice location , clean rooms , early checkin Stayed in December "
"14",14,"Thailand","<U+2022> Group<U+2022> Triple Room<U+2022> Stayed 2 nights",7.1,"¡°Good location and good value for money¡±","the rooms are very very small We booked a room for  people which meant one of us slept on a sofabed Could not really more around after that was setup Very good location as its close to Arab corner Amazing shops and restaurants down there The hotel lobby and restaurant are very cozy and looks very goodStayed in December "
"15",15,"Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Connecting Room<U+2022> Stayed 6 nights",8.3,"¡°Pleasant but a bit lacking in help with outside activities¡±","The lack of information on what you could do in Singapore  There was no one at the hotel to tell you anything about Singapore as a place  They did not offer to call taxis etc, you had to request them to do it The rooms were big enough and everything seemed okStayed in January "
"16",16,"Italy","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Queen Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",7.1,"¡°Good hotel but I wouldna<U+0080><U+0099>t book it again:pool was so cold and no common area¡±","Cons:Absolute ice cold pool ,noise from the air co engine at the top of the building,no place to relaxDirty floors with carpet and not so clean roomWeird way to have the room card every time with you ,otherwise no way to reach the  th floor where our room was or to take any other floorNo advise you have to playa bottom to allow the maid to make your roomAt  when we where back we asked the bar a cocktail or wine but it closes at  pm !!!you can only have beers Pros:Comfortable bed super sheetsSilent air coCentral location , m to Nicolle highway and a couple of stops to the MarinaVery good breakfastFriendly staffStayed in January "
"17",17,"Croatia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Queen Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",9.2,"¡°Good value for the money¡±"," Rooms were comfortable and clean and the breakfast was good Pool was okay, quite small but with a city view We had no problems with checking in and out of the hotel Good value for the moneyStayed in December "
"18",18,"Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> 2 rooms<U+2022> Stayed 5 nights<U+2022> Submitted via mobile",4.6,"¡°Good location with bad staff¡±","ve made So stubborn and careless The locationStayed in January "
"19",19,"United Kingdom","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",7.9,"¡°Good value, close to MRT station to travel around Singapore.¡±","Family rooms pretty small for four with luggage Good value, close to MRT station to travel around Singapore Nice roof swimming poolStayed in December "
"20",20,"Malaysia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 5 nights<U+2022> Submitted via mobile",6.3,"¡°Good introduction to the Asian experience¡±","I was not expected a small size room, The location of the hotel is great, close to the MRT and the attractions of the neigborhoodStayed in January "
"21",21,"United Kingdom","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",7.5,"¡°Great location, lovely pool with great view, friendly staff¡±","Cramped room for  people Great location, lovely pool with great view, friendly staffStayed in December "
"22",22,"United Kingdom","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> 2 rooms<U+2022> Stayed 2 nights",8.3,"¡°Nice decent hotel with all the basic amenities & a nice roof top swimming pool¡±","Not many food options for vegetarians late in the night Better to plan in advance if you have younger children Almost all the Uber drivers struggled to locate the place; better to contact them and give additional directions if you don't want to wait for long! Property was responsive to requests and were helpful with our queriesStayed in December "
"23",23,"Germany","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Queen Room<U+2022> Stayed 5 nights",8.3,"¡°Great base for exploring Singapore!¡±","There was almost no cold water available in the bathroom This was especially annoying while showering: you had to choose between no pressure at tolerable temperatures, or boiling water at a little more pressure Also, A/C settings reset each time you leave the room Nice hotel, everything new and modern Comfy beds, A/C not too loud Pool on th floor with great view to the city Food court (hawker centre) with many affordabe eating possibilities just around the corner Proximity to the MRT station (about  min walking) Arab district only - min walking distanceStayed in January "
"24",24,"Ghana","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 2 nights",8.8,"¡°I would definitely return to the same place.¡±","The shower room didn't have doors and also the bathroom door could not lock Breakfast required also more variety The Customer service was great, The location was perfectStayed in January "
"25",25,"Belgium","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",7.5,"¡°Moderate price but the rooms are quite small¡±","No bottled water offered, rooms are pretty small, as well as bathroom which is very tiny, if MRT used it's quite difficult to reach with a luggage from the airport due to many stairs, very expensive coffee in the lobby Reception efficient, umbrellas offered, luggage storage, housekeeping excellent, tea/coffee in the roomStayed in January "
"26",26,"Indonesia","<U+2022> Couple<U+2022> Superior Queen Room<U+2022> Stayed 3 nights",4.6,"¡°The hotel is so quiet.¡±","when check-in the hotel, i felt the worker is so not kind and arrogant The hotel is so quiet but the elevator is so slow (have to wait for a long time)the swimming pool in top of the hotel is so so so so so small~Stayed in January "
"27",27,"Philippines","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Twin Room<U+2022> Stayed 6 nights<U+2022> Submitted via mobile",7.9,"¡°It was alright¡±","Broken toilet lock, broken toilet hook The bed was so clean and comfy The tissues were good quality tissues Close to the MRT Easy cheap eats right acrossStayed in January "
"28",28,"Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",3.8,"¡°Not really nice¡±","The room is not clean, all marks on the door No conditioner, no soap just  slipper for  of us Not worth it Hmmmp?Stayed in December "
"29",29,"China","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> 2 rooms<U+2022> Stayed 5 nights<U+2022> Submitted via mobile",7.5,"¡°Good location n valued price ¡±","Noisy neighbors n I had to complain then requested to change room the next day :( can hear the noise from corridor very clearly especially holiday peak season like year count down  Location is quite good though no MRT around, but easy to walk around and close to Mariana Bay Area n bugis Room view is ok and can see Mariana bay from the roof but bad idea to enjoy the fireworks on counting down night of dec  too crowded n no control with safety concern? There is a food center opposite of hotel with very nice n cheap choices for dinner (most stalls open at night) Also there is a small Thailand beside the hotel for Thai food Stayed in January "
"30",30,"China","<U+2022> Leisure trip<U+2022> People with friends<U+2022> Superior Twin Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",4.6,"¡°it needs to be improved ¡±","s the worst night ever the design of the lobby and rooftop swimming pool is cool by the way and the restaurant on nd floor offers asian food Stayed in January "
"31",31,"Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 5 nights",5.4,"¡°The location is near an MRT station¡±","The room did not smell freshThe breakfast experience was terrible every single day during our  days' stay: there were way too many people for that small restaurant Finding a table was difficult and reaching the buffet table was a challenge The location is near an MRT stationStayed in December "
"32",32,"United Kingdom","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",4.2,"¡°Overall fine but room disappointed.¡±","Room was disappointingly small for family of four - having been described as a family room Once there were two additional beds in the room there was no space at all The bathroom was also very small for a family No space to hang up more than two towels Location was good with easy access to MRT and fairly central Only twenty minutes from airportStayed in January "
"33",33,"Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Queen Room<U+2022> Stayed 2 nights",9.6,"¡°Clean hotel with Friendly staff¡±","Pillow too soft LocationStayed in December "
"34",34,"Australia","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Superior Queen Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",7.9,"¡°Great location, very modern, helpful staff¡±","Breakfast is expensive, but on a par with most in Singapore It is  minutes walk to many cafes, however the price is similar Great location, very modern, helpful staffStayed in December "
"35",35,"Finland","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Queen Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",7.1,"¡°Clean with good location.¡±","Bass noise throught the night though room in th floor Common facilities / areas too small No common changing rooms or showers available at the pool or lobby level for checked out customers New hotel, good location and reasonable price Ok breakfastStayed in December "
"36",36,"United Arab Emirates","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",7.9,"¡°Reasonable hotel value for money¡±","No late check out; Small toilet and has no lock No windows so air circulation is not good A reasonable hotelStayed in December "
"37",37,"Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",10,"¡°Excellent stay with great welcome from all staffs and managers¡±","None Customer service is great and the room is cleaned very well Lovely and warm to stay for family and couple for holidayStayed in December "
"38",38,"Maldives","<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",10,"¡°The bed¡±","Nothing EverythingStayed in December "
"39",39,"Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 5 nights<U+2022> Submitted via mobile",7.9,"¡°Very good except the fight for breakfast each morning¡±","Breakfast fiasco LocationStayed in December "
"40",40,"Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 5 nights<U+2022> Submitted via mobile",5.8,"¡°Ok for a night or two max. Not recommended for families.¡±","Family room with queen bed, couch and a single left no room for bags or to sit or for more than two people to stand at once No proper fridge, minibar or gym Roof pool ok but shellow Breakfast expensive (expected), limited and average overall Location was ok, my expectations overall were higher than reality unfortunatelyStayed in December "
"41",41,"United Arab Emirates","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 9 nights<U+2022> Submitted via mobile",7.1,"¡°I will still recommend this hotel. e<U+009F><U+0091><U+008D>¡±","Pillows - too thin and only  per guest Closeness to mrt station - about m, taxi stand and bus standStayed in December "
"42",42,"Zambia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",6.3,"¡°Strategic location. ¡±","Staff very straightforward  Location is goodStayed in December "
"43",43,"Kuwait","<U+2022> Couple<U+2022> Family Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",7.1,"¡°Clean center all places near by¡±","Room was very smal for  persons very congested Clean center all places near byStayed in December "
"44",44,"United Kingdom","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 4 nights",8.3,"¡°Very pleasant stay and stuff was amazingly helpful and friendly¡±","Rooms are substantially smaller than they appear on the hotels photos Breakfast hall was overcrowded Roof top swimming pool was amazing Located close to Arab Street and MRTStayed in December "
"45",45,"East Timor","<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 1 night",5.8,"¡°An ok place to spend the night, but not worth the money compared to other hotels with same price¡±","room tiny, elevators small, crowded and slow, breakfast ran out of food and room very fastStayed in December "
"46",46,"Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",5.4,"¡°The bedding is very good¡±","No preasure in the shower and or cold water or too hot water, impossible to regulate   Floor carpets with spotsWifi not working properly, that meant no WiFi in the roomBreakfast is ok but the breakfastroom is too small for the number of persons, so it feels very croudy Not very nice to start the day The bedding is very goodStayed in December "
"47",47,"United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Queen Room<U+2022> Stayed 2 nights",8.3,"¡°Good basic hotel. Ideal if you just need a place to sleep and freshen up.¡±"," Good location for getting around Singapore Underground close by Rooms are very practical Bar and restaurant prices are high Try the Street Food across the road it is amazingStayed in December "
"48",48,"Singapore","<U+2022> Family with young children<U+2022> 2 rooms<U+2022> Stayed 1 night<U+2022> Submitted via mobile",7.5,"¡°Easy acess to nearby foods joints,li¡±"," The staffs are friendlyStayed in December "
"49",49,"New Zealand","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",7.1,"¡°Generally good.¡±"," Generally goodStayed in December "
"50",50,"Singapore","<U+2022> Leisure trip<U+2022> Group<U+2022> Superior Twin Room<U+2022> Stayed 2 nights",7.5,"¡°Bed is comfy, staff friendly¡±"," Bed is comfy, staff friendlyStayed in December "
"51",51,"United Arab Emirates","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",8.3,"¡°Value of money¡±","Nothing easy access to all places to vist and shorth distance from airportbreakfast is goodStayed in December "
"52",52,"Malaysia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Connecting Room<U+2022> Stayed 3 nights",8.8,"¡°Excellent :D¡±","The room is kinda small but just nice for  pax And they don't have proper hair and body shampoo for guests( only  in ) But this does not affect us since we brought our own shampoo during the trip Everything was great, nice room, nice bed If you travel by car, the parking is FOC, which is really rare in Singapore The location is nice, opposite have one hawker center with really great food (hokkien mee), and beside is golden mile plaze which have really tasty thai food (friend banana, crepe, mookata) Will def come back againStayed in December "
"53",53,"USA","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",8.3,"¡°Location and close to many interesting areas¡±","Small room, not much space to move around Location and close to many interesting areasStayed in December "
"54",54,"Thailand","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Superior Twin Room<U+2022> Stayed 3 nights",9.6,"¡°Good location and convenient for tourist¡±","Public area is too small Good location and convenient for touristStayed in December "
"55",55,"India","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 4 nights",6.3,"¡°Stayed for 4 nights with family.¡±","Very limited spread in the breakfast,  breakfast area very small for the guests Rooms are very small Stayed for  nights with family Cleanliness is very good  Nice view from the roof top Friendly staffStayed in December "
"56",56,"India","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Queen Room<U+2022> Stayed 5 nights",6.7,"¡°Hotel was okay¡±","Problem was the area where breakfast was served is very congested and there was not enough variety of food to cater different people In short breakfast was not good Hotel was okayStayed in December "
"57",57,"India","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Queen Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",10,"¡°Location of property¡±"," Location of propertyStayed in December "
"58",58,"Saudi Arabia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> 2 rooms<U+2022> Stayed 1 night<U+2022> Submitted via mobile",7.9,"¡°A very good hotel for tourist.¡±","You need to carry your own stuff to bring to your room Location and comfortStayed in December "
"59",59,"Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> 2 rooms<U+2022> Stayed 3 nights",8.3,"¡°It is nice, clean, spacious and near MRT also Bus Station.¡±"," The place is near Kampong Glam so it is convenience for muslim to stay cause there is mosque nearby and the place also close to MRT Station and Bus Station The room is clean and spacious It is a great place to stayStayed in December "
"60",60,"Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 1 night",5.4,"¡°Not value for money.¡±","Soundproof is extremely bad Besides, children running at the corridor outside of the room produced so much noise and affected our sleep Very bad experienceNot really value for money because the hotel only provides basic amenities location is great, near to the mrt stationStayed in December "
"61",61,"Vietnam","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 3 nights",10,"¡°wonderful experiences, the room quite small but it is quite cozy¡±","The lightly bad smell of  toilet can bother a little bit of your experience but in overall, it would be highly recommended I love the breakfast and also the cleanliness of the HotelMoreover, the hotel very near the Nicoll Highway Station MRT so if you plan to go there by MRT, just choose Nicoll MRTStayed in December "
"62",62,"Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Twin Room<U+2022> Stayed 7 nights<U+2022> Submitted via mobile",9.2,"¡°Location, pool, breakfast¡±"," Location, pool, breakfastStayed in December "
"63",63,"China","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 4 nights",8.3,"¡°clean rooms, international TV channels and convenient...¡±","there is a nice food center opposite to hotel, serving cheap but good local food, but no good choice nearby for coffee break or a nice dinner clean rooms, international TV channels and convenient transportation: half an hour walk to Bugis and Marina BayStayed in December "
"64",64,"Philippines","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 5 nights<U+2022> Submitted via mobile",7.1,"¡°New Hotel. Excellent Location ¡±","Staff at the restaurant were rude Balan in specific Zero customer service attitude The staff was more interested in turning away people LocationStayed in December "
"65",65,"Singapore","<U+2022> Leisure trip<U+2022> Group<U+2022> Superior Queen Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",5,"¡°Could be better with better service¡±","Staff, very blunt and rude Located near local food cuisine which affordableStayed in December "
"66",66,"China","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Connecting Room<U+2022> Stayed 4 nights",6.3,"¡°The hotel room is bigger than most of the hotels¡±","The safety in that area maybe an issue in the night The hotel is close to MRT, easy to find restaurant/food court aroundStayed in November "
"67",67,"Malaysia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",9.2,"¡°Enjoyed staying! Would book again!¡±"," Very clean room Friendly and helpful Staff Good breakfast choice Close access to Bus and MRT Delicious affordable Food Court across the PropertyStayed in December "
"68",68,"China","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 3 nights",7.1,"¡°good, can be better¡±","the family room is too small location is goodStayed in December "
"69",69,"Malaysia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",7.5,"¡°Good¡±","t refill soap, need to queue to check out Elevated parkingStayed in December "
"70",70,"Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> 3 rooms<U+2022> Stayed 1 night<U+2022> Submitted via mobile",6.3,"¡°The bed is comfortable.¡±","The toilet with uneven floor The bed is comfortableStayed in December "
"71",71,"Indonesia","<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",7.1,"¡°Nice new hotel, but not for kids/ baby¡±","Room quite narrow to open medium size bagage (stayed  in family room triple size bed), i brought my baby also My husband asked them to keep my ice gel for my cooler bag 'breastmilk' in freezer, but the reception (a girl young age) looked at it disgustingly (seriously!!) and said to the other reception, ""do we have freezer? "", she told him, 'no we dont have freezer' Okay Done You can see some dust  The bed was nice, breakfast very good  for ,* hotel but it's not halal, my fav's pork bacon, hashbrown, apple juice Stayed in December "
"72",72,"Czech Republic","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Superior Queen Room<U+2022> Stayed 3 nights",9.6,"¡°Very nice place , ideal to go everywhere. I would like to come back again !¡±","nothing Very helpful staff at the front office Stayed in December "
"73",73,"Brazil","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",9.2,"¡°Good place to stay¡±","Small room, lack of ventilation Good location, nice pool Reception is friendlyStayed in December "
"74",74,"Brazil","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",9.6,"¡°Very good hotel¡±"," Good hotel The room and the facilities all look new The swimming pool in the roof is pretty nice and there's a nice view from there from both sides The breakfast was good with good options of fruits, breads, coffee, cereals and couple more things Would stay there againStayed in December "
"75",75,"Germany","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Queen Room<U+2022> Stayed 5 nights<U+2022> Submitted via mobile",9.6,"¡°The Hotel is highly recommendable to anybody who is looking for an excellent value of money in Singa¡±"," I expected a better breakfast wit more selections In breads and cheeses The Hotel does not have a gym  The staff was really helpful and super friendly The area of the Hotel is lively with great Thaifood places (right in the golden mile district) Easy access to the MRT (Nicoll Highway  Mins walking, Lavendar ( Mins walking) Excellent view onto the Singapore Flyer, Marina Bay Sands Hotel as well as the Stadium) Although in a busy area, the rooms were quiet The bed was very comfortable and the bathroom had a good size The shower was bigger than expected Very nice rooftop outdoor pool Taxis from the airport or to the airport cost between S$-S$Stayed in December "
"76",76,"United Kingdom","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Queen Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",9.6,"¡°Very comfortable place easy access to transportation¡±"," Very comfortable place easy access to transportationStayed in December "
"77",77,"Australia","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Superior Queen Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",9.6,"¡°Nice rooms and fantastic roof top pool¡±","Location was a little further out than I would of liked however easy to get around with the mrt Cleanliness of room, quiet rooms, roof top poolStayed in December "
"78",78,"United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Queen Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",8.8,"¡°Great location in Kampong Glam neighbourhood.¡±","Our room rate did not include breakfast, which looked quite nice Great location in Kampong Glam neighbourhood Modern, new facilities Nice rooftop poolStayed in December "
"79",79,"Singapore","<U+2022> Leisure trip<U+2022> Group<U+2022> Superior Queen Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",7.5,"¡°Excellent and will visit soon¡±","Security officer was unfriendly and unclear of parking procedure Cleanliness and the bed super comfyStayed in December "
"80",80,"United Kingdom","<U+2022> Leisure trip<U+2022> Group<U+2022> Triple Room<U+2022> Stayed 1 night",7.9,"¡°No room service but good breakfast options - very...¡±"," No room service but good breakfast options - very accommodating staffStayed in December "
"81",81,"Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Queen Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",7.5,"¡°Breafast could be changed daily and breakfast area should be bigger.¡±","Some of the staff never had a smile on their face It was in a good locationStayed in December "
"82",82,"Malaysia","<U+2022> Business trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",10,"¡°feeling good ¡±","pool must be more bigger very good behave and cleancommitmetalI like itStayed in December "
"83",83,"Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",8.8,"¡°City view at swiming pool¡±","Nothing City view at swiming poolStayed in December "
"84",84,"Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",6.7,"¡°Meet expectation¡±","I think the lift design is a bit off as the  up and down buttons are not sycned with each other and they contorlled different lift Sometimes the lift tend to stop at every level due to the button triggered but the passenger in fact has already gotten down by another lift We like that the building is quite newStayed in December "
"85",85,"Australia","<U+2022> Leisure trip<U+2022> Group<U+2022> Superior Queen Room<U+2022> Stayed 1 night",6.7,"¡°Very quiet rooms¡±","The dinning room for breakfast was always very crowded Very quiet roomsStayed in November "
"86",86,"Singapore","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Superior Queen Room<U+2022> Stayed 1 night",7.5,"¡°New boutique hotel for short stay.¡±","Opportunity to improve the signage for parking and location of the reception floor New boutique hotel for short stay Right opposite hawker center, eating place for local foodsStayed in November "
"87",87,"Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",9.2,"¡°Great place to stay!¡±","The bathroom is a little bit  too small! It have good facilities!Stayed in December "
"88",88,"Indonesia","<U+2022> Family with young children<U+2022> Superior Queen Room<U+2022> Stayed 5 nights<U+2022> Submitted via mobile",7.9,"¡°The location is great!¡±","Staying  nights and the breakfast quite similar from day one till we check out Yeah we know itas their standard The location is great! Easy to go everywhere by MRT and the nearest MRT station only walk around  minutes or lessStayed in December "
