"","X","nationality","tags","score","content","content_detail"
"29",29,"Brunei Darussalam","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",10,"¡°Will come back in the future¡±"," Staffs are friendly and the housekeepings are excellent , we asked for the bed sheet to be replaced due to our son's vomited on it passed ++am in the morning, they were there to assist usStayed in December "
"30",30,"Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 9 nights<U+2022> Submitted via mobile",9.6,"¡°Pleasant stay overall, will definitely recommend to others.¡±","Would love to have more bamboo bikes Clean, centralised area, very helpful staff, good foodStayed in December "
"31",31,"Singapore","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 1 night",7.5,"¡°Table & Smoking room¡±"," Table & Smoking roomStayed in December "
"32",32,"France","<U+2022> Leisure trip<U+2022> Group<U+2022> 2 rooms<U+2022> Stayed 1 night<U+2022> Submitted via mobile",7.5,"¡°Decent hotel at an okay price¡±","Rooms are maybe a little bit smallProbably not the best value in Singapore A very wide breakfast selectionComfortable beds, clean roomDecent locationStayed in December "
"33",33,"Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",5.8,"¡°The pillows are soft¡±","The air conditioner very noisy The pillows are softStayed in December "
"34",34,"Philippines","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",10,"¡°I requested for late checkout and I was only given up to...¡±","I requested for late checkout and I was only given up to :pm so I decided for early checkout and leave our luggage with conciergeStayed in December "
"35",35,"Malaysia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 5 nights",7.5,"¡°Keep up the good image. Ibis On Bencoolen¡±","Not applicable Hotel location is good and accessibility to all the needs, especially waliking distanceto MRT and Bugis Junction Shopping  Ibis staff are friendly and cooperative GoodimageStayed in December "
"36",36,"Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",10,"¡°It was a great at¡±","The room too compact The room is cleanStayed in December "
"37",37,"Philippines","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",10,"¡°Excellent¡±","None The buffet breakfast The friendly and accommodating crewsVery nice and peaceful placeStayed in December "
"38",38,"Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Special Offer - Twin Room with Extra Benefits<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",8.8,"¡°Good breakfast, friendly staff.¡±"," Good breakfast, friendly staffStayed in December "
"39",39,"Malaysia","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",6.3,"¡°The cleanliness of the bedsheet, i had a skin rash.¡±","The cleanliness of the bedsheet, i had a skin rash Hope the bedsheet could be changed before check inStayed in December "
"40",40,"Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",7.9,"¡°I will visit again¡±"," Love the comfort of the bedStayed in December "
"41",41,"Indonesia","<U+2022> Business trip<U+2022> Solo traveller<U+2022> Standard Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",7.5,"¡°as expected¡±"," economicalStayed in December "
"42",42,"New Zealand","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Special Offer - Double Room with Extra Benefits<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",10,"¡°If was a wonderful stay and we enjoy it as a family.¡±","Im happy with everything I like the place, the warmth inside and the friendly and helpful staff from the reception to the cleaning staff on the floor Well done guysStayed in December "
"43",43,"Japan","<U+2022> Leisure trip<U+2022> Group<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",7.5,"¡°Great location¡±"," Only couple minutes walk from Bencoolen MRT station, Starbucks and Fold Republic Very convenient and clean hotel! I particularly like how the showers have walls so the water does not leak to the toilet areaStayed in December "
"44",44,"Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 5 nights<U+2022> Submitted via mobile",7.9,"¡°m again planning my next stay at ibis..its just a matter of date n time to be confirm..¡±","the room was slightly smaller that expected as ive stayed in various IBIS at different state n locationbed was a bit too highi actually request to remove the extra padding but i was stitched together with the bedso unable to it location was excellenteasy access to many location that we could just walk overthe laundry room was a great helpstaffs were friendlyStayed in December "
"45",45,"Malaysia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",9.6,"¡°Great location¡±","N/a Very accessible via public transportation The hotel is also located in a vibrant area Everything is within walking distanceStayed in December "
"46",46,"Papua New Guinea","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",5.4,"¡°Disappointed by the air freshener in the rooms¡±","s health  Also, the hotel should ask permission first from the guests before spraying the rooms  Although, my request to transfer into another room was granted, the  hours I endured hoping the smell would go away and the inconvenience caused by transferring my belongings at  am was really too much of a hastle) The lady at the reception/check in counter  She comes off as unfriendly and unaccommodating  She needs to be trained more in service-orriented industries)  Uncomfortably too soft pillowsThe above comments were based on the comparison made with the  other hotels we stayed at during our  week trip overseas The  staffs (old guy and young lady) at the taxi stand were friendly, extremely helpful, and cheerful  They made our stay comfortable and specialStayed in December "
"47",47,"Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",10,"¡°Worth the dollar and everything was there as promised¡±","None ExcellentStayed in December "
"48",48,"USA","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 4 nights",7.1,"¡°Good¡±","The size of the rooms, the TV, the closet and the refrigerator are very small The rooms are small for two adults The service was excellent  The Hotel is within walking distance to everythingStayed in December "
"49",49,"Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",9.2,"¡°The room is clean and comfy, surprisingly really great...¡±","Hope there'll be complimentary sandals for guests The room is clean and comfy, surprisingly really great neighborhoodStayed in December "
"50",50,"Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",8.3,"¡°Staff were excellent. Offered free loan of umbrellas and MRT cards¡±","A bit far from main tourist attractions Close to public transportStayed in December "
"51",51,"Vietnam","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",6.3,"¡°must pay all money when check in¡±","must pay all money when check inStayed in December "
"52",52,"Sri Lanka","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",7.5,"¡°Good facilities.¡±"," Good facilities Breakfast wad great Easy bus connection to city centre  right in front of the hotelStayed in December "
"53",53,"USA","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",6.7,"¡°Decent value, but wish we paid $20 SGD more per night for a nicer hotel.¡±","Extremely small for our party of , especially bed and bathroom Lacked common amenities like lotion, hand towels, water bottles, water in lobby We liked the location as it was - blocks from the new Bencoolen St MRTStayed in December "
"54",54,"Australia","<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",7.1,"¡°Good¡±","Nil ConvenienceStayed in December "
"55",55,"Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",9.6,"¡°Location and price¡±","Breakfast low quality  Location and priceStayed in December "
"56",56,"United Kingdom","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",9.6,"¡°Couple and traveling student review¡±","Can't think of anything Location, clean comfortable room, good shower, rooms quiet, luggage store on checkoutStayed in December "
"57",57,"Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",7.5,"¡°Overall the hotel was good, clean, and the staffs were friendly¡±","- The food that served on breakfast time were delicious, the staffs were friendlyStayed in November "
"58",58,"Australia","<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 3 nights",7.5,"¡°The shower area is too small.¡±","The shower area is too smallStayed in November "
"59",59,"Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",6.3,"¡°Despite all the unpleasant experiences I had during my...¡±","Hotel room facilities that dont work well Despite all the unpleasant experiences I had during my second stay in this hotel like clog sink, continous beeping sound frm our room telephone and noisy nextdoor room who argued up to am and other noisy sounds during our stay, the manager on duty and staff are being helpful to settle the issueStayed in December "
"60",60,"Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",8.3,"¡°Nice Hotel, good location, with helpfull staff. Specially Mr Simon, helpfull front office staff. ¡±","I order double bed for two room,  the size of each bed little bit too small I think it's better to change it with more wider size  And also its nice if you add shower spray at the toilet e Nice, clean, good location, helpfull staffStayed in December "
"61",61,"Malaysia","<U+2022> Business trip<U+2022> Solo traveller<U+2022> Standard Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",7.5,"¡°Short, hassle free and on time completion of tasks planned¡±","Hawker food at a decent price Just like eating in Penang home Walking distance to MRT station Convenient for hawker foodStayed in December "
"62",62,"Netherlands","<U+2022> Leisure trip<U+2022> Group<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",10,"¡°We would not hesitate to stay again or recommend to others¡±"," The staff were especially friendly and helpfulStayed in December "
"63",63,"Oman","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Twin Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",7.1,"¡°Service of staff¡±","Not to mentioned Service of staffStayed in December "
"64",64,"Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 1 night",6.3,"¡°It was ok¡±","After leaving the shiny lobby and going up in the lift, you step into what might be another, cheaper and more run-down hotel The room was fine, although the pillows were a little fat and the aircon was noisy It was an ok room in a hotel whose lobby promised a little more I liked that they let use leave the bags there so we could look around Singapore before an evening flight, and the staff were generally helpfulStayed in December "
"65",65,"United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",10,"¡°Excellent, convenient  for  me to  get about¡±","The bed was too highStayed in December "
"66",66,"Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> 2 rooms<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",7.9,"¡°Will come back and stay¡±"," Just value for moneyStayed in December "
"67",67,"Brunei Darussalam","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 1 night",8.3,"¡°great place to stay, Team should continue their good work¡±","coffee machine was sometimes needing a refill but staff rushed to refill when told the staff, always smiling, ever-willing to help, no one was unfriendly or grumpy the breakfast items were being refilled even at closing timeStayed in December "
"68",68,"Brunei Darussalam","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 3 nights",8.3,"¡°it will remain a good choice to stay provided the Team maintains or exceeds their current performanc¡±","not enough space for breakfast The Ibis Bencoolen is an excellent choice for anyone, hard to find a flawStayed in December "
"69",69,"India","<U+2022> Business trip<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",7.5,"¡°Location¡±","Lack of vegetarian items in menu LocationStayed in December "
"70",70,"India","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Twin Room<U+2022> Stayed 1 night",6.7,"¡°cramped¡±","more storage space- specially for suitcases, glasses for water, shoe shine kit, variety in tea, more creamers, side tables too small maybe u can add a few shelves near the bedside u can add laundry rate list, good breakfast- malaysian manager very pleasant, nice pillows, early checkinStayed in December "
"71",71,"Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> 2 rooms<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",8.8,"¡°Good value.¡±","Check-in slow Staff not very efficient Kept repeating herself, ie telling me the number  and type of rooms I have booked Reapeated  times! So unnecessary Good value  Great comfortable bed Hood showerStayed in December "
"72",72,"India","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",7.9,"¡°Location is very good has very good connection with every...¡±"," Location is very good has very good connection with every part of the cityStayed in December "
"73",73,"India","<U+2022> Business trip<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",7.9,"¡°Decent business hotel, centrally located. Wona<U+0080><U+0099>t suggest for family with kids¡±","Breakfast buffet  is chaotic and monotonous Can be much improved Good clean rooms though quite small Good free wifi, easy connectivity to all local attractions Bugis and Little India are really walkable Dinner was tastefully cooked There is - shop right next door for all your daily needsStayed in December "
"74",74,"Papua New Guinea","<U+2022> Business trip<U+2022> Group<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",10,"¡°Location was excellent. Good location for shopping¡±","My stay was short The reception desk service was exellentStayed in December "
"75",75,"Papua New Guinea","<U+2022> Group<U+2022> Special Offer - Double Room with Extra Benefits<U+2022> Stayed 1 night",9.2,"¡°Nice stay although only one night.¡±","Everything ok, except if there was a complementary bottle of water or two would be appreciated Bed and everything was ok for me Location was great and central to almost everything like shopping Staff were very friendly and helpfulStayed in December "
"76",76,"Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 1 night",9.6,"¡°best of location at the center of Singapore¡±","nope great staff at the time of check in, very fast on serving the customerStayed in December "
"77",77,"Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",5.4,"¡°Hassle free check in and good choice of breakfast.¡±"," Good location close to shopping centres and bugis streetStayed in December "
"78",78,"Singapore","<U+2022> Leisure trip<U+2022> Group<U+2022> Standard Double Room<U+2022> Stayed 1 night",8.3,"¡°Overall we have a pleasant stay, will come back again, gotten it at a good price.¡±","Once pm the rooms cards were deactivated Friends could not access to their rooms Need to ask for extension Fortunately they were all in my room Otherwise we would be locked out Thankfully the staff were helpful Staff were very friendly and helpful Willing to extend our check out time ( room out of ) to  pm instead of pmStayed in December "
"79",79,"India","<U+2022> Business trip<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",10,"¡°Superb¡±","You should give a local mobile phone for use ExcellentStayed in December "
"80",80,"United Kingdom","<U+2022> Leisure trip<U+2022> Group<U+2022> Standard Twin Room<U+2022> Stayed 4 nights",7.1,"¡°Excellent location within short walking distance of 2 MRT...¡±"," Excellent location within short walking distance of  MRT stations, the National Museum, National Library  Just behind the hotel is a foodie's selection of local food  Across from the main entrance is the legendary Fatty's restaurant - OUTSTANDING food  The area behind the hotel is a local scene - a good peek into ordinary lives of Singaporeans - without the glitz and glamour of Orchard Road  I would stay here againStayed in December "
"81",81,"United Kingdom","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Standard Twin Room<U+2022> Stayed 2 nights",9.2,"¡°nice hotel to stay in singapore¡±","hot water ran out sometimes the breakfast was excellent, nice selection of high quality teaStayed in December "
"82",82,"India","<U+2022> Business trip<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",10,"¡° Cleanliness, hygiene, buffet breakfast,  rooms with windows¡±","  Cleanliness, hygiene, buffet breakfast,  rooms with windowsStayed in December "
"83",83,"Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Special Offer - Double Room with Extra Benefits<U+2022> Stayed 1 night<U+2022> Submitted via mobile",8.8,"¡°Great location, friendly staff, comfortable bed, hospitality...¡±","Nothing Great location, friendly staff, comfortable bed, hospitality room to freshen up before our late night flight after checkoutStayed in December "
"84",84,"Sweden","<U+2022> Leisure trip<U+2022> Couple<U+2022> Special Offer - Double Room with Extra Benefits<U+2022> Stayed 1 night<U+2022> Submitted via mobile",7.1,"¡°Nice and easy stay, central location, hint: take the tube...¡±"," Nice and easy stay, central location, hint: take the tube from and to the airportStayed in December "
"85",85,"Bangladesh","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 6 nights",6.7,"¡°OK but leaves much to be desired.¡±","The room facility was bare minimum  No storage for clothes etc for longer stay  TV could not be smaller!? Near MRT and my destinationsStayed in December "
"86",86,"Malaysia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 2 nights",6.7,"¡°Good location and comfortable stay, but you must find out how much is the net room rate .¡±"," breakfast is good It would have been perfect if they quote their net room rate rather than SDR---++ It is only fair to consumerStayed in November "
"87",87,"Brunei Darussalam","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",10,"¡°This hotel continues to be our choice when visiting Singapore.¡±","No complaints The counter staff helped a lot by allowing an early check-in, and the housekeeping staff went above and beyond expectations when the room was made up even with our heavy luggage left on the bed (we forgot to put the ""Do not disturb"" sign on the door when we went out To the housekeeping staff who took care of Room  on th december , Thank You!Stayed in December "
"88",88,"United Kingdom","<U+2022> Leisure trip<U+2022> Group<U+2022> Special Offer - Twin Room with Extra Benefits<U+2022> Stayed 4 nights",9.6,"¡°Excellent location, very comfortable, a favourite.¡±","There are not enough charging sockets and in a twin room as we were, only one bed gets charging facilities The beds are super comfortable with mattress toppers Everything is very well designed and easy, and the location is unbeatableStayed in December "
"89",89,"Malaysia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",9.6,"¡°Great and my kid liked it!¡±","NA The room was very comfy and cleanStayed in December "
"90",90,"India","<U+2022> Business trip<U+2022> Group<U+2022> Standard Twin Room<U+2022> Stayed 7 nights",7.1,"¡°Liked the stay¡±","Indian breakfast was not tasty Room was sufficient for two peopleStayed in December "
"91",91,"Japan","<U+2022> Business trip<U+2022> Group<U+2022> Standard Double Room<U+2022> Stayed 4 nights",7.5,"¡°Good location and friendly service.¡±","smoking room was not available on the st night, however gave priole to change my roon from nd day: ) I like this property due to th floor (smoking rooms)Stayed in December "
"92",92,"Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 3 nights",9.6,"¡°excellent location near Bugis  shops and MRT   CLEAN SMALL...¡±","NO POOL excellent location near Bugis  shops and MRT   CLEAN SMALL ROOMS AT REASONABLE PRICEStayed in December "
"93",93,"Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",9.2,"¡°Cleanliness and friendly staffs¡±","No commeny Cleanliness and friendly staffsStayed in November "
"94",94,"Philippines","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 3 nights",7.9,"¡°Location was great, just a short walk to the Bugis area.¡±","Water is not readily available in the rooms and had to ask for it every time Specially for tourists, available water in the room would be appreciated after a day of going around Singapore Location was great, just a short walk to the Bugis area Near Bugs MRT station, about  blocks awayStayed in December "
"95",95,"Brunei Darussalam","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 2 nights",6.7,"¡°The towel should be replaced daily and not suggested of...¡±","Towel issue The towel should be replaced daily and not suggested of re-use Slipper is not provided Stayed in December "
